"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-58",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113793855638213,-2.19799245790486,0.00142128090103738,0.00945158791897205,0.00038459639794156,-2.1882473177061,0.001178238016607,0.00895580330488139,0.00037231725709948,-2.19797471203955,0.00200014760265153,0.00926113448937302,0.000562717811183939,-2.19796413803804,0.00182814422964208,0.00943077630538225,0.000480030559279872
"11422-59",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113564381620217,-2.20066004520569,0.00136551901093905,0.0102896035212002,0.000375095737598681,-2.18946479196487,0.00113484244765434,0.00961250931974726,0.000363067669618546,-2.19855844842573,0.0019108756000285,0.00987544733153512,0.000521150437995404,-2.20108303255276,0.00159725642512417,0.0104502665850369,0.000456598472017605
"11422-60",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113668262532015,-2.19896471572226,0.00141605908526852,0.00991002307884388,0.000402160888699878,-2.18883664170793,0.00116569334579135,0.00946331693060283,0.000391178094612557,-2.19692668841365,0.00196569329675067,0.00925424614160144,0.000558530050654233,-2.198621534346,0.0017216725316189,0.00979508186961894,0.000520334535651837
"11422-61",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113645139431948,-2.2009131869139,0.00138863844703141,0.00997122100118178,0.000362392690325985,-2.19050863516945,0.00116314636762766,0.00960535896962361,0.000356326947789734,-2.20211870565744,0.00194475716460675,0.0104980535108973,0.000524059055205228,-2.20113461079718,0.00150607920401728,0.0100153911071685,0.000431138750525051
"11422-62",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11366752700948,-2.19928744323421,0.00141216819235243,0.0100610335705,0.000401325280256021,-2.18895858361175,0.00116100448533184,0.00966072174855721,0.00039078810206895,-2.20048254719548,0.00199191314725684,0.0100521864151504,0.000563524850865205,-2.19928684938803,0.0016508095089007,0.0101152996459927,0.000521928547009879
"11422-63",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11359826241591,-2.20152895101635,0.0014076870486286,0.0102485672052053,0.000381208959064001,-2.19036509410773,0.00116359632820604,0.00959563140986866,0.00037142153642883,-2.2019002201836,0.00200209033023724,0.0102867055992072,0.000535449436797469,-2.20090211594846,0.00165763522746791,0.0100909850627119,0.000485521412975599
"11422-64",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113594852779803,-2.20038158587196,0.00141380081665842,0.0099015671381105,0.000388428479684834,-2.18967907419845,0.00116533437984066,0.00925923704717561,0.000377450937993298,-2.19967276948092,0.00198502148933574,0.00985217801386101,0.000521770668864486,-2.2006661934643,0.00163926060878103,0.00990263491680903,0.000477798630166452
"11422-65",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113407139849448,-2.19909425051645,0.00142146632514226,0.00898877230759069,0.000403312441977869,-2.19002120524434,0.00117211404460379,0.00861477695181058,0.00039347863183113,-2.20082282849587,0.00202608385733572,0.00893140436943387,0.000583289775879852,-2.19905376138819,0.0016329202972614,0.00899336824703021,0.00047353882307224
"11422-66",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113550599831789,-2.19971644477597,0.00140576522947276,0.00960917965759908,0.000389076319893063,-2.18995831205807,0.00116641567281079,0.0092358716332487,0.000380707468154373,-2.1994901271401,0.00197780076006796,0.00931130034555391,0.000549216667445758,-2.19951050195573,0.00168147146366488,0.0095756352404515,0.000501360384363839
"11422-67",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113833205150337,-2.19747382324551,0.00137233775976746,0.00942549645461165,0.000359125773595425,-2.18743678307966,0.00115384353555493,0.00884270550185849,0.000350631782685118,-2.1961796871181,0.00193597428984975,0.00904688823371504,0.000511019484022605,-2.19735974208236,0.00159283827042053,0.00943195590239597,0.000474019348970087
"11422-68",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113562233406288,-2.20012721356052,0.00141578094716446,0.00989249692370312,0.000398288777923957,-2.19005142440377,0.00116487600554807,0.00955748339234287,0.000387332750994077,-2.19917077571188,0.00203871428604514,0.00929303967089072,0.00060381427214731,-2.20041442992359,0.0017726642357608,0.0100408783023183,0.000514167796275376
"11422-69",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113645757197412,-2.19947286985386,0.00143368760729614,0.00962341335592786,0.000395677781455747,-2.1891484772713,0.00118310644286057,0.00883065784375205,0.00038306615216661,-2.19967766828258,0.00202157332383847,0.00933577904076344,0.000560561980110208,-2.19975776596733,0.00176574961086339,0.00970365750530682,0.000534551230071147
"11422-70",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113407286479131,-2.20055250128477,0.00140972942973021,0.00944139757404311,0.000390853324618733,-2.19057933437587,0.00116346104312264,0.00894311978144963,0.000380909554453964,-2.19909304057294,0.00199725060580892,0.00880723983535452,0.000576248982898971,-2.20095736279152,0.00160438326027096,0.00964629022070668,0.000516321720417517
"11422-71",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113712935460706,-2.19857543373173,0.0014065910324076,0.00940472640918101,0.000376709103656006,-2.18875534083035,0.00117059251224629,0.00892339513140856,0.000367092989328057,-2.19721231204574,0.00199009619864644,0.00894855055819585,0.000530304187235442,-2.19854827182529,0.00168657533955761,0.0094061795363883,0.000486770107431167
"11422-72",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113646864016845,-2.1993760456416,0.00138770933116441,0.00970467818517253,0.000375284815785326,-2.18943229776326,0.00115971954967132,0.0092979283802455,0.000367825672149774,-2.19945345797897,0.00194625505980491,0.00997103518920852,0.000518399481038081,-2.19921530380725,0.00159336328849732,0.00972058955817744,0.000481471376617558
