"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-51",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068378385901389,-0.00898655894029525,0.00136888708655849,-0.00893975793591495,0.00132399046065784,-0.00660377351588765,0.00603275754040594,-0.00841612345073881,0.00194801729782574
"11424-52",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679036637567145,-0.0104738407818434,0.00123990193604252,-0.0101081634578908,0.00123923188553401,-0.00331308933244831,0.00468450124432297,-0.0106085083267135,0.00152658783709097
"11424-53",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0678920867173009,-0.00846033000960644,0.00126291887268886,-0.00857907341689338,0.00124690833021364,-0.0099314024506173,0.00541765516066833,-0.00816602498989029,0.00158371002365332
"11424-54",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068542071439041,-0.0106093337898374,0.00138463508388395,-0.0102810322020191,0.00132476075314726,-0.013167272441807,0.00387156581785947,-0.0108077944848059,0.0021196684613038
"11424-55",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683817927409343,-0.00820660998497233,0.00123704602481889,-0.00774719390529048,0.00120102451791479,-0.0105425700442779,0.00659562352100404,-0.00874821798392308,0.00151076036883117
"11424-56",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0678130276052192,-0.0126468533756739,0.00125856926702902,-0.012437141888351,0.00123385792453801,-0.00856893774400906,0.00398190281696807,-0.0127991985205404,0.00172961452719523
"11424-57",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684564123575947,-0.0118744610736371,0.00146031534262614,-0.0110338747160312,0.00140548849138885,-0.00418850577025967,0.00357252988053587,-0.0102368532601119,0.00181863392173257
"11424-58",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0686048069757642,-0.00940168903306685,0.00132482464136606,-0.00845456914270747,0.00127708503612853,-0.0149508215936574,0.0055935425032298,-0.00880781003097761,0.0018203924897045
"11424-59",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684766359212413,-0.0100478970114274,0.00135696185811688,-0.00969877375902735,0.00133632573745965,-0.0113461175760766,0.0038644707119804,-0.00931733337839404,0.00173038940277361
"11424-60",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682283699647716,-0.00871871097306103,0.00118754385840514,-0.00844386289537576,0.00116239508888445,-0.000183021893566958,0.0053973613530919,-0.00928923612072832,0.00151065249067365
"11424-61",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684898978712193,-0.0109915386943437,0.0011969191521041,-0.0102551390979878,0.00116390088444546,-0.00206787811617411,0.0048162069174184,-0.0104221972025756,0.00154995922134501
"11424-62",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680088622518528,-0.00928589977449932,0.00132224627080673,-0.0088814064779236,0.00130702110852503,-0.0117852221260608,0.00403855508898926,-0.00941272695646437,0.00153913968056801
"11424-63",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0686104396223582,-0.00865786978988936,0.00134381277388526,-0.00796438849731593,0.00129335897759905,-0.00885033746131307,0.00374036854693304,-0.00948355643037848,0.00162182320426254
"11424-64",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685772120688883,-0.0105585310714428,0.00137083127719292,-0.00996970383358958,0.00135595418267562,-0.00353841962140814,0.00522943791302563,-0.00981910434903735,0.00206325899087473
"11424-65",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684945507255661,-0.0121635052856792,0.0013919712805492,-0.0115449775652171,0.00135210470310589,-0.0171099102168942,0.00436038182325003,-0.0141304949036709,0.0018209300878019
"11424-66",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685543284516283,-0.00929258156401694,0.00132165901796795,-0.00879124117202136,0.00131038381400859,-0.00475750785871376,0.00532638601574133,-0.00980070570496944,0.00191649651307383
"11424-67",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684345826768126,-0.00966257397595885,0.00142808999523659,-0.00917612208519681,0.00139080391881416,-0.0119399544015755,0.00347782307108741,-0.0103751764722995,0.00217236525519163
"11424-68",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680369746092076,-0.0110161562322275,0.00140689092451003,-0.0104990323394412,0.00136436648177896,-0.0151866915535589,0.00407830012153057,-0.0120325477405637,0.00202833518156145
"11424-69",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683974059099445,-0.0106468341469061,0.0012822008362152,-0.0104599018884093,0.0012689586486771,-0.00490432088752557,0.00397395824304883,-0.0102008904498024,0.0017063184733506
