"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11424-93",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114434789588676,-2.19802507487509,0.00373669252013471,0.00900963128218733,0.00106973332350389,-2.19292101292212,0.00334367942519619,0.00951508043339968,0.00114474572533796,-2.19205151290793,0.0128151668878111,0.00881287507116037,0.00358652637525671,-2.19673563150389,0.00477929206943531,0.00823629867591462,0.00150719540983344
"11424-94",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114802001686943,-2.1999796323699,0.00394613259738436,0.0106916069858996,0.00108384676629242,-2.19444509814064,0.00356903920197419,0.011565387658308,0.00117308581200003,-2.17994414849273,0.0132999202453598,0.00615138021966338,0.00404026809795699,-2.20149941839272,0.0048868270730541,0.0112429142003467,0.0015237029552385
"11424-95",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114490736412959,-2.2007462060647,0.00374319096583202,0.0110183044973718,0.00108428885461769,-2.19394050908706,0.00337774442531775,0.0113304398035638,0.00117152076906825,-2.20921393710799,0.0104409241715206,0.0122886053095091,0.00307233154254827,-2.20366103167666,0.00460877098063243,0.0123957579781943,0.00152916528894075
"11424-96",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114120494481207,-2.20179071759087,0.00393699646686797,0.00913930254299755,0.00107332260699622,-2.19556328855675,0.00354766395066609,0.0090936542450707,0.00114103067494995,-2.19645284791812,0.0134279780657232,0.00728616366813258,0.00350544746947423,-2.19979005048653,0.00444909234924742,0.00859463422182226,0.00137016827747015
"11424-97",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115017015535079,-2.1952443671873,0.00390149839125945,0.0101342175019473,0.00115123928394704,-2.18967250605256,0.00346997145765608,0.0108232702251153,0.00123630919544856,-2.19752004186132,0.013106800209703,0.0161760143364555,0.00408892315438665,-2.19905532919877,0.00500392716044853,0.0115559253581014,0.00159661803491453
"11424-98",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114235609947074,-2.20151858395855,0.00406820740767103,0.00965273267853857,0.00110310002604709,-2.19588065838533,0.00371149697500057,0.0100284944430524,0.00119617255735306,-2.20295816782496,0.0136311084857436,0.0106952460089802,0.00403660274275389,-2.20100803257186,0.00493708268027177,0.00951332659729182,0.00158709191086114
"11424-99",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114832134040487,-2.19190832173085,0.00410436292771429,0.00816851283105326,0.00114706301115353,-2.18745007865038,0.00372199539814603,0.00870759068806933,0.00124034729475908,-2.19179164898885,0.0123603649213446,0.00941324228272928,0.00352428683499867,-2.18878978456386,0.00452699651780654,0.00679099486334481,0.00137045923588782
"11424-100",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114973219513062,-2.1995146796795,0.00401607799705763,0.0111222707602675,0.0010981970812383,-2.19192411218284,0.00361828368151912,0.0111430637596028,0.00117440186122212,-2.20068577883417,0.0122469354736233,0.00810325102509935,0.00368021683378091,-2.20045367916584,0.00449373597791768,0.0116716472388469,0.00137838276554676
"11425-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11461976561064,-2.19801972134137,0.00397273234499371,0.00969002672966872,0.00109136291604528,-2.19229270019645,0.00358767954743669,0.0101528405064901,0.00117122697822901,-2.21123262359622,0.0125580350508947,0.013757061509787,0.00330362573818781,-2.19922507712716,0.00457405850425393,0.0100505572030743,0.00137570193253693
"11425-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114981990209582,-2.19434017893604,0.0039272754894918,0.00986024362857952,0.00111442389425016,-2.18890835566532,0.00355671131669131,0.0104519905671427,0.00119977973166891,-2.17713001789267,0.0109695927600692,0.00842911426683781,0.00292636924795514,-2.19427660242413,0.00452814367013503,0.0100674523628227,0.00145022919177639
"11425-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114506056744837,-2.20643258618328,0.00386629025184965,0.0123583014231815,0.00106319385691445,-2.19883396264445,0.00349438795594719,0.0127847557391422,0.00114110485640151,-2.20456184284588,0.0115357875949584,0.0109433912148844,0.00320143914135815,-2.20637519968497,0.00517227211056463,0.0119554388395753,0.0015959938752421
"11425-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114854816216696,-2.19561066314343,0.00392295445470347,0.00919006232214234,0.0010687679581391,-2.19032178391422,0.00352773499975791,0.00972599419532767,0.00114479498732434,-2.20906327481266,0.0121156860999031,0.00715469197389564,0.00329319666193202,-2.19397380558812,0.00458847200531415,0.00854088172756694,0.00136841517072275
"11425-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113766937890204,-2.20957145507566,0.00401411957264431,0.0114282051368742,0.00113599775025286,-2.20375447425379,0.00360751158966912,0.0125334632264204,0.00122897435214491,-2.20849373563565,0.0120344608379207,0.00957633524506853,0.00380982818071024,-2.20517613121975,0.00476879329678772,0.00962800851855718,0.00149290643275154
"11425-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114966117556446,-2.19295335664819,0.00378438686182868,0.00886314808766264,0.00106350605919194,-2.18750001603406,0.00341800786477876,0.00915001013679635,0.00114837000142053,-2.18324125508076,0.0118090050181846,0.00852604332821114,0.00280638371731406,-2.19079678085256,0.00426293960692222,0.00833357179155783,0.00138680247151493
"11425-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115273224451674,-2.20081558516853,0.00383820561391352,0.0127876928971571,0.00104497829716341,-2.19353192565295,0.00346405115138462,0.0135289961857383,0.00111491660769561,-2.19592839173444,0.0140370571007582,0.00977054487221599,0.0037252021294497,-2.19997984440757,0.00459990515455585,0.0125796680794019,0.00146739747848502
"11425-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115177082723123,-2.19648877046827,0.00395896201990882,0.0106546946576781,0.00111269454828649,-2.18937520807083,0.00355378797047657,0.0108464854104135,0.00120714372655574,-2.20701394751408,0.0116594419655657,0.0130953482380403,0.00301559972254486,-2.19496449819893,0.00470337296410281,0.00996713963285411,0.00149945810933022
"11425-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114236276591237,-2.19679815521161,0.00411202865541151,0.00800546449330162,0.00113135108169985,-2.19121767871081,0.00376307991924481,0.00777357794042403,0.00122604320078965,-2.17727468370379,0.0125133816546072,-0.00325625732530618,0.00371395844715641,-2.19505776650984,0.00457071043628151,0.0074261924119784,0.00141942690604152
