"TractFIPS","CountyName","POP","BPHIGH","CHD","DIABETES","OBESITY"
37081015901,"Guilford",5270,1645,333,464,1708
37081015902,"Guilford",3611,1012,170,268,1116
37081016003,"Guilford",4294,1207,211,323,1289
37081016005,"Guilford",1721,505,93,133,491
37081016006,"Guilford",3159,882,171,228,894
37081016007,"Guilford",4933,1327,237,351,1441
37081016008,"Guilford",7034,1780,282,465,2118
37081016009,"Guilford",3743,1123,203,311,1161
37081016010,"Guilford",2607,717,126,191,793
37081016011,"Guilford",5627,1458,214,400,1942
37081016101,"Guilford",5063,1666,406,466,1362
37081016102,"Guilford",3930,1034,177,287,1301
37081016103,"Guilford",5068,1409,244,401,1637
37081016201,"Guilford",5352,1499,263,397,1606
37081016203,"Guilford",4013,1385,289,378,1172
37081016204,"Guilford",2985,774,120,206,854
37081016205,"Guilford",3903,992,157,274,1171
37081016303,"Guilford",3316,1135,239,319,1012
37081016304,"Guilford",3758,1056,177,275,1094
37081016305,"Guilford",3538,1076,195,291,1037
37081016306,"Guilford",4500,1242,189,342,1436
37081016405,"Guilford",1691,520,77,151,645
37081016406,"Guilford",3300,858,132,232,1063
37081016407,"Guilford",4577,1218,184,339,1387
37081016408,"Guilford",1956,691,145,190,570
37081016409,"Guilford",2513,790,149,219,775
37081016410,"Guilford",5520,1739,293,525,1966
37081016502,"Guilford",5598,1870,364,538,1747
37081016503,"Guilford",3729,895,135,232,1175
37081016505,"Guilford",5072,1243,183,335,1593
37081016506,"Guilford",4900,1363,226,373,1534
37081016600,"Guilford",2500,950,228,315,888
37081016701,"Guilford",5126,1641,252,467,1851
37081016702,"Guilford",3522,1223,268,370,1205
37081016800,"Guilford",6584,2325,435,738,2450
37081016900,"Guilford",4698,1612,343,466,1509
37081017000,"Guilford",4516,1581,344,475,1536
37081017100,"Guilford",7273,2430,466,677,2306
37081017200,"Guilford",6919,2242,416,644,2332
37151030100,"Randolph",4597,1632,350,580,1747
37151030201,"Randolph",3078,1093,231,345,1032
37151030202,"Randolph",5078,1834,417,605,1737
37151030301,"Randolph",6501,2100,423,735,2438
37151030302,"Randolph",3041,1342,311,527,1256
37151030400,"Randolph",4193,1489,344,546,1619
37151030502,"Randolph",4019,1467,314,459,1339
37151030503,"Randolph",5855,1898,369,574,2003
37151030504,"Randolph",5893,1939,384,590,2039
37151030600,"Randolph",6387,2306,499,748,2274
37151030700,"Randolph",6011,2008,409,620,2068
37151030801,"Randolph",7148,2395,487,751,2538
37151030802,"Randolph",6290,2158,447,667,2177
37151030900,"Randolph",3686,1409,317,476,1353
37151031000,"Randolph",7151,2732,601,937,2646
37151031100,"Randolph",5823,2196,507,763,2213
37151031200,"Randolph",5336,2130,465,753,2050
37151031303,"Randolph",4226,1471,305,453,1446
37151031304,"Randolph",4701,1693,367,555,1688
37151031305,"Randolph",4090,1465,311,487,1514
37151031306,"Randolph",6845,2184,418,644,2307
37151031400,"Randolph",8452,2671,525,837,2942
37151031501,"Randolph",6079,2049,408,627,2098
37151031503,"Randolph",3011,1042,223,332,1021
37151031504,"Randolph",5234,1728,341,519,1712
37151031505,"Randolph",3618,1263,261,380,1187
37151031601,"Randolph",3905,1473,329,508,1461
37151031602,"Randolph",1504,577,131,205,560
37157040101,"Rockingham",4097,1586,328,521,1475
37157040102,"Rockingham",2823,1014,187,314,983
37157040200,"Rockingham",3949,1545,328,530,1485
37157040300,"Rockingham",3712,1504,327,476,1229
37157040400,"Rockingham",6361,2596,554,923,2513
37157040501,"Rockingham",3659,1581,344,582,1457
37157040502,"Rockingham",2876,1151,233,380,1036
37157040601,"Rockingham",3872,1452,291,469,1375
37157040602,"Rockingham",4784,1718,335,555,1670
37157040700,"Rockingham",4524,1738,371,561,1584
37157040800,"Rockingham",1666,705,135,244,635
37157040900,"Rockingham",2587,1046,241,360,950
37157041001,"Rockingham",6103,2039,403,623,2094
37157041002,"Rockingham",5894,2152,437,684,2052
37157041100,"Rockingham",6657,2497,486,786,2304
