"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-630",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113332561704174,-2.20256961548251,0.00334407892127935,0.0106607805230932,0.00099320491018779,-2.20147432986169,0.00334491485987236,0.014715531585636,0.0014349885397588,-2.20669709601094,0.0100636398976817,0.0120049063401799,0.00255200595304823,-2.20000108689907,0.00370759986848015,0.00979341232571578,0.00117852114244991
"11422-631",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113655788144314,-2.19920717916916,0.00327230906030335,0.00970415140300349,0.000885381173330033,-2.19862617118634,0.00324364345868242,0.0135700848069934,0.0012447254739985,-2.20827172436275,0.00986841959828898,0.0112939816279416,0.00222487387671899,-2.20000706056364,0.00467199173170962,0.0103133616737678,0.00144829184146093
"11422-632",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.11394595209126,-2.19345858842549,0.00323652479853414,0.00810127153830763,0.00083002868088094,-2.1921272003367,0.00319648364852722,0.0107856236416133,0.00114728801427336,-2.18697924170734,0.0108393808431123,0.00550496133851226,0.00301187107586662,-2.19244387376096,0.0033498170439389,0.00780912179531214,0.000888078478301593
"11422-633",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113632209548888,-2.19790887367666,0.00336779613872375,0.00893376896223775,0.000918773398376158,-2.19674958953556,0.00330726878694737,0.0120877471566257,0.00126193495170824,-2.19744036108995,0.0106611657809471,0.0101255781182407,0.00282674580482769,-2.19945272419544,0.00442437702482582,0.00943891034295339,0.00144491560010793
"11422-634",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114079388190619,-2.19566755074879,0.003278713562395,0.00974975686816265,0.00088466204295515,-2.1940235198072,0.00323728689873152,0.0129426962053059,0.00122489543603888,-2.18771716650288,0.0111643364836388,0.0108107739125406,0.00336498774538638,-2.19630264748047,0.00426227039056,0.0102813532247494,0.00139462567315039
"11422-635",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113332448791254,-2.20047073751725,0.00322120637487264,0.00937567898244481,0.000877853814492584,-2.19974279809975,0.00321903795621445,0.0131247311287844,0.00126747969064022,-2.1927521755852,0.0104269606308803,0.00702668592518144,0.00362478952276779,-2.20146241051166,0.00360243210927719,0.0101662349973309,0.00106324950502791
"11422-636",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113227649468102,-2.19968278975263,0.00330988183536571,0.00869482543395117,0.000934656642369219,-2.1988293629113,0.00330922473385781,0.0120950110244298,0.00135435593626489,-2.19883941680836,0.0101531753723481,0.00763901798259679,0.0027642485437329,-2.19853555920273,0.00382459253078151,0.00811429564350567,0.00112202283606646
"11422-637",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114277784828273,-2.1943199271472,0.0033327600960772,0.0097970039969042,0.000904628775706313,-2.19262170383809,0.00330403969325964,0.0129592518551081,0.00126132183928275,-2.19508578271912,0.0103478162635165,0.0093457496026697,0.00239069246046566,-2.19240005442512,0.00432023803467859,0.00919247756765217,0.0013287585065152
"11422-638",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113876757100705,-2.20152317669213,0.00323756668902189,0.0102377330520658,0.000773410825790211,-2.2005590725755,0.00319814228828632,0.0140945262731402,0.00107249193892109,-2.21615774817381,0.00969795090880102,0.0120020100523771,0.00185588064174171,-2.20266571086871,0.0044920563704883,0.0107635352338136,0.00130012432556555
"11422-639",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113303823780375,-2.19845162406122,0.00345286465738518,0.00850926300079964,0.0010238756763006,-2.1975832757255,0.00341710890703261,0.011701680806475,0.00144083982370451,-2.20150330500241,0.00978299848376078,0.00834783731742043,0.00254843571227018,-2.19764215859771,0.00437467159428186,0.00860922304969751,0.00149913929841745
