"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-15",340,0.00995033085316809,2,0.1,0.0719915951055535,0.00939564283018223,0.0011375996519841,0.00612478869727941,0.000773028868517812,0.0141120209620895,0.00596326718759286,0.0092482040601221,0.00156910494755244
"11424-16",340,0.00995033085316809,2,0.1,0.0717301468395638,0.010364666564471,0.00127262759131456,0.00618648027091207,0.000811539501438321,0.00749674396382801,0.00452170877124542,0.0105872513028344,0.00179428027991108
"11424-17",340,0.00995033085316809,2,0.1,0.0717327328238823,0.00989077576062291,0.00135226531144984,0.00558763363568959,0.000876949715205529,0.00529381566908902,0.0041784172365939,0.00817369754301745,0.00192758362462416
"11424-18",340,0.00995033085316809,2,0.1,0.0714315636055409,0.00966644225518271,0.00128515189358218,0.00636565410271343,0.000846850335035335,0.0113903357728676,0.00492411165437714,0.00865129901245316,0.00131485972224633
"11424-19",340,0.00995033085316809,2,0.1,0.0724965560788586,0.00944563414136977,0.0011070457789498,0.00585735912036597,0.000704784058777366,0.00760945126913932,0.00307251310909294,0.0106226467167157,0.00193072049667262
"11424-20",340,0.00995033085316809,2,0.1,0.0718648619463441,0.0105794697905903,0.0013195560710498,0.00673300905044936,0.000879606045895259,0.0187358295125805,0.00434835925460431,0.00939213591540326,0.00144643144147193
"11424-21",340,0.00995033085316809,2,0.1,0.072210368138908,0.00940833815886211,0.00123974013903137,0.00560093620371104,0.000818589277254002,0.00684510507859665,0.00460126679021104,0.00802221807743869,0.00176191597974477
"11424-22",340,0.00995033085316809,2,0.1,0.071547048028143,0.00850642528660109,0.0012940756899668,0.00515970982300892,0.000827749712221444,0.00753934613411759,0.00497495379692824,0.00998017511415404,0.00216665995906728
"11424-23",340,0.00995033085316809,2,0.1,0.0722218625842422,0.010043042965724,0.00116055222001959,0.00636325860191867,0.00074560552340806,0.00923165896633618,0.00332816154255693,0.00946146728122678,0.00188833099807254
"11424-24",340,0.00995033085316809,2,0.1,0.0718333912946559,0.0110679812048776,0.00129921799685631,0.00721479808711201,0.000871539064518883,0.0150880483512337,0.00500620316333461,0.0120039371667199,0.00182239187778483
"11424-25",340,0.00995033085316809,2,0.1,0.0722206557551494,0.00908585719469,0.00124047636091377,0.00620632190942579,0.000834864368805181,0.00767509647953371,0.00418811140716747,0.00857628857570063,0.00175218068408523
"11424-26",340,0.00995033085316809,2,0.1,0.0717556708909685,0.00918112432550141,0.00116046739493819,0.00535055187147541,0.000755473296622569,0.0125501159548018,0.00238531535246689,0.0092891584405383,0.00159272858686084
"11424-27",340,0.00995033085316809,2,0.1,0.0716379462911183,0.011318062628204,0.00112344889527509,0.00645066035384746,0.000670138905126655,0.0124425055064172,0.0032551583206203,0.011759378875259,0.00149245971872685
"11424-28",340,0.00995033085316809,2,0.1,0.0720249272639979,0.0113306303277596,0.00123976926913359,0.00700087929918116,0.00078397848087835,0.02000856231471,0.00589829714638275,0.0104468949125399,0.00166369945023081
"11424-29",340,0.00995033085316809,2,0.1,0.0721757409820688,0.0104118714427094,0.0011381803298859,0.00594288838007546,0.000694609622667275,0.00854170430185859,0.00312026767017591,0.0106284567251994,0.00220923664344861
"11424-30",340,0.00995033085316809,2,0.1,0.0718591892814233,0.00801705434236815,0.00126428452035391,0.00495416874538071,0.000790887738460704,4.8355149856311e-05,0.00387428925080149,0.00628004241534293,0.00176225306468444
"11424-31",340,0.00995033085316809,2,0.1,0.0718777668675223,0.00931312600865523,0.00117198738368846,0.00599300581272509,0.000771027067725896,0.00995677390809734,0.00256394745738618,0.0097428516711791,0.00172705224856782
"11424-32",340,0.00995033085316809,2,0.1,0.0714727512285337,0.00940436634917215,0.00138726986457177,0.00633836206516488,0.000929814378961288,0.0171067352735738,0.00537639540312072,0.00832748550280465,0.00229016605513326
"11424-33",340,0.00995033085316809,2,0.1,0.0717514709031002,0.0104714804116141,0.00126376799208985,0.00695146104977984,0.000849505733386292,0.0077120861466452,0.00473269943014738,0.0122768814972506,0.00216115624415661
"11424-34",340,0.00995033085316809,2,0.1,0.0716219102416629,0.0116079937664914,0.00136869755465834,0.00759164774833147,0.000906590130891379,0.010879599471433,0.00401835868710225,0.0120541535230869,0.00175625193033613
"11424-35",340,0.00995033085316809,2,0.1,0.0716225684566962,0.0099797653454379,0.00125272801566349,0.00595557072018113,0.000823523206762553,0.00776887763822761,0.00405236017855641,0.00830659816146517,0.00215812597766734
"11424-36",340,0.00995033085316809,2,0.1,0.0719319134637312,0.0101590391016232,0.00123440524268556,0.00644803124865512,0.000788908899375043,0.0096729012881492,0.00548377176055295,0.0113963056761699,0.00162282651059791
"11424-37",340,0.00995033085316809,2,0.1,0.071438082201678,0.00823224789803405,0.00119424486698098,0.00547008761517804,0.000777198803260342,0.0155874658114646,0.00466821380085539,0.00912066441221767,0.00220052138198029
"11424-38",340,0.00995033085316809,2,0.1,0.0717688491477579,0.00930468486091862,0.001238545765659,0.00591014509692246,0.000790826957469827,0.0129262722739463,0.00523556239430204,0.00937946678497084,0.00228773816326643
"11424-39",340,0.00995033085316809,2,0.1,0.0717519248710344,0.0129145048365707,0.00128803588275937,0.00796363946211079,0.000851067881409352,0.00362225135020645,0.00560409141321484,0.0122810649145449,0.00191564384508463
"11424-40",340,0.00995033085316809,2,0.1,0.0718115488032205,0.00942602893844454,0.00125611450767912,0.00545756924636814,0.000802765064658622,0.0166123649764254,0.00670680209753917,0.0110488480116584,0.00178474480754161
"11424-41",340,0.00995033085316809,2,0.1,0.0715464101024817,0.0103085692665191,0.0012753561780272,0.00636902659637771,0.000834315149305918,0.00752023911210989,0.0034416934983658,0.00865875113415575,0.00190876712684067
"11424-42",340,0.00995033085316809,2,0.1,0.0721783926292944,0.010512363317873,0.00125316224404288,0.00621613395143085,0.000753836194646575,0.00983585912819466,0.00537920028820086,0.00967604440763305,0.00188775835174512
"11424-43",340,0.00995033085316809,2,0.1,0.0714758447980499,0.00843732885773705,0.0013214798728467,0.00529137651623931,0.000844251127849924,0.00154724059121428,0.00508810638873404,0.00891003301923374,0.00188645144915226
"11424-44",340,0.00995033085316809,2,0.1,0.0716339141778902,0.00982045412414355,0.00136720228766097,0.0067238355834876,0.000982272805298776,0.0112203951567639,0.00343655431048707,0.0102250288901082,0.00263522460023094
"11424-45",340,0.00995033085316809,2,0.1,0.0717415480515136,0.0104157457505413,0.00121267564826123,0.00679808101684689,0.000824218875872028,0.0102906610707427,0.00466403334730739,0.0116058772559443,0.0022686070251158
"11424-46",340,0.00995033085316809,2,0.1,0.0719155612455997,0.0119369164874761,0.00132454682977244,0.00810443692409288,0.000949482548066985,0.00647357657032799,0.00507476320603344,0.0121284126939693,0.00192873975447685
"11424-47",340,0.00995033085316809,2,0.1,0.0719247666157066,0.0107559610649574,0.00119362982014618,0.00651669411030083,0.000770247257044857,0.0159570727543212,0.00300653584323899,0.0115816051803211,0.00163061440191959
"11424-48",340,0.00995033085316809,2,0.1,0.0720209479469403,0.00888561094563104,0.00119488802983304,0.00528225103658114,0.00073570290403785,0.0172594448923782,0.00515744246586671,0.00815744202287208,0.00202628322760103
"11424-49",340,0.00995033085316809,2,0.1,0.0713343430643015,0.00972739706294363,0.0011585369803367,0.00573955341972125,0.000704480474278965,0.00758791422033641,0.00360729393854764,0.0100571183223682,0.00176030864887668
"11424-50",340,0.00995033085316809,2,0.1,0.0717663943085892,0.00989432963789597,0.00128294333566805,0.00607925380042866,0.000798866070409753,0.00931612890381799,0.00503093222004451,0.00843412594835859,0.00180536459236193
"11424-51",340,0.00995033085316809,2,0.1,0.0713935973254247,0.00919469750095004,0.0013721009839826,0.00603349350565059,0.000932553353878036,0.0128135356416514,0.00388443747334416,0.00965542844240403,0.0024176658210926
"11424-52",340,0.00995033085316809,2,0.1,0.0716267775560198,0.0107257113386375,0.00122987594918279,0.00652558898642263,0.000803289376685171,0.0108526459615149,0.00464247543028455,0.0107200433781521,0.00178547224106499
"11424-53",340,0.00995033085316809,2,0.1,0.0713904156501779,0.00996797668725519,0.00121213184091003,0.00632880767878505,0.000794709984149179,0.00605038304355669,0.0037905406124196,0.00962119011804303,0.00163364819423495
