"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-15",340,0.00995033085316809,1.25,0.1,0.0717960037747353,0.00951596678757563,0.00132521852954327,0.00877473658134545,0.00119720983753105,0.0138885593387721,0.00532939496927173,0.00898388416071098,0.00129804401384238
"11427-16",340,0.00995033085316809,1.25,0.1,0.0718085489188723,0.00968044921831237,0.00123648143940301,0.00843287832580312,0.00106534688350674,0.00744003551909024,0.0045477935143907,0.0100622102528839,0.00135300906797968
"11427-17",340,0.00995033085316809,1.25,0.1,0.0718596773431999,0.00863642711955997,0.00124876097911848,0.00774155660556889,0.00110741508770197,0.00872031233673297,0.00353264171839358,0.00864099528769472,0.00136916685972467
"11427-18",340,0.00995033085316809,1.25,0.1,0.0719037256079393,0.00906514937635146,0.00113284168806037,0.00807095511310874,0.00100100666777112,0.00683953921368873,0.00312205247875301,0.00877257575855536,0.00127458418559789
"11427-19",340,0.00995033085316809,1.25,0.1,0.0720367637483836,0.00864150515404056,0.00114017733494674,0.00767906888295332,0.00100809393363839,0.0125628463241943,0.00286750881556451,0.0089310450541639,0.00125624539518647
"11427-20",340,0.00995033085316809,1.25,0.1,0.0716410500201761,0.00922348051384948,0.00113535402180849,0.00799678834628107,0.00100169912751004,0.0103347215878487,0.00225029723617576,0.00932070749229142,0.0011974639320453
"11427-21",340,0.00995033085316809,1.25,0.1,0.0720268419138573,0.0102986514256652,0.00130570520705849,0.0088656445002183,0.00116264183879307,0.00823831204613113,0.00352820421915587,0.00970994210669265,0.00137464470433276
"11427-22",340,0.00995033085316809,1.25,0.1,0.0720522599323423,0.0119987346538958,0.00117875843407913,0.0103472287063606,0.0010445217876337,0.00714833228526305,0.00477502114286161,0.0118989241488437,0.00127052129486654
"11427-23",340,0.00995033085316809,1.25,0.1,0.0715223567221375,0.0095491144309213,0.00117291828759365,0.00834024066971664,0.00103137847900432,0.00176298924723741,0.00508508587430398,0.00967618615028656,0.0011908112863282
"11427-24",340,0.00995033085316809,1.25,0.1,0.0714340736694109,0.0108858520087617,0.00137094899906675,0.00925372091251288,0.00117396822013631,0.0100511024082279,0.00466222221616331,0.0112981501518326,0.00155114050398403
"11427-25",340,0.00995033085316809,1.25,0.1,0.0715942618134535,0.00988139495469349,0.00141568948200724,0.00856235725206587,0.00124966164514079,0.00934819304751985,0.00492592249584962,0.00954109744610361,0.00149304503349856
"11427-26",340,0.00995033085316809,1.25,0.1,0.0714173392306052,0.0105054475215419,0.00137721012981708,0.00896160971577812,0.00120181544506832,0.0193001986400177,0.00485306606854799,0.00987883950776054,0.00139094457713796
"11427-27",340,0.00995033085316809,1.25,0.1,0.07157270325728,0.0115475379563936,0.00116995922591794,0.0100261326023344,0.00101724130378968,0.0166024237514068,0.00391379243562833,0.0112303104303472,0.00122775461412399
"11427-28",340,0.00995033085316809,1.25,0.1,0.0720911427297398,0.00776220715653494,0.0014651288861812,0.00664091697235953,0.00129642988809459,0.0023464802799982,0.00625008516766411,0.0080128865729131,0.00156570447229461
"11427-29",340,0.00995033085316809,1.25,0.1,0.0719497545470185,0.0109978544584627,0.00130383555069913,0.00951269224473907,0.00113323617177612,0.0140530881683731,0.00422010032957001,0.011881260517615,0.00146938272046197
"11427-30",340,0.00995033085316809,1.25,0.1,0.071539764132071,0.00927099420263813,0.00123659357170695,0.00827175387936655,0.00111873492353621,0.014035398449393,0.00338394764881824,0.0088599463464978,0.00129282889158979
"11427-31",340,0.00995033085316809,1.25,0.1,0.071451915543648,0.00937931448093548,0.00116914270818254,0.00838218651418541,0.00104856875178686,0.00720574273481931,0.00343110445372036,0.00989474992088617,0.00129400962863881
"11427-32",340,0.00995033085316809,1.25,0.1,0.0714496105957153,0.00919085543893958,0.00127373376209063,0.00797155245702765,0.00112782616461104,0.00780425726224434,0.00421756734493953,0.00980319025134401,0.00136015081835346
"11427-33",340,0.00995033085316809,1.25,0.1,0.0720306922602577,0.00964427241823739,0.00113034047245361,0.00865839654184033,0.00101929926591598,0.00889505213165087,0.0033794814225114,0.00943171343425476,0.00116874710338521
"11427-34",340,0.00995033085316809,1.25,0.1,0.0718646288721374,0.00949644270305031,0.00114587128146275,0.00815555060396459,0.00100287667866805,0.0121821263256548,0.00380919071385786,0.00993990097900749,0.00127261900585652
"11427-35",340,0.00995033085316809,1.25,0.1,0.0715722117754018,0.0103071784643887,0.00135655053524226,0.00912886567853929,0.00121396182681305,0.0115858716444409,0.00348450661783896,0.010027654295923,0.00152606855349332
"11427-36",340,0.00995033085316809,1.25,0.1,0.0714263998994754,0.0108321999283757,0.00141027608536275,0.00953163811313156,0.00124439521344131,0.0157461257680363,0.00612003513481611,0.011182972990684,0.00150316872110453
"11427-37",340,0.00995033085316809,1.25,0.1,0.0721099737260701,0.0101624323060193,0.00130244112405038,0.00920156430615763,0.00118034975984281,0.0150640764932486,0.00388012658534092,0.0104786428413425,0.00138704557649934
"11427-38",340,0.00995033085316809,1.25,0.1,0.0719845416377975,0.0106235722254216,0.00117017425946103,0.00935566140454467,0.00103494698751684,0.0125175893195877,0.00471141949089773,0.0101409782670357,0.00117061205269012
"11427-39",340,0.00995033085316809,1.25,0.1,0.0719140121964084,0.00852887841218992,0.00135315157137643,0.00753138084632951,0.00118143754263761,0.00596632196966505,0.00498331445652468,0.00881897174613881,0.00139315305743512
"11427-40",340,0.00995033085316809,1.25,0.1,0.0717360012938497,0.0103175626461013,0.0010626323315621,0.00937372425869341,0.000959521354279685,0.0116575691308885,0.00570807377300389,0.0100895598693742,0.00111287910621528
"11427-41",340,0.00995033085316809,1.25,0.1,0.0721437270885429,0.00841049956237679,0.00124755557002412,0.00747245382930959,0.00110620225977404,0.00881020585605007,0.00471242192776998,0.00827160541699496,0.00126659889882268
"11427-42",340,0.00995033085316809,1.25,0.1,0.0716979674349053,0.0101198823811422,0.00114560394039693,0.00909495821706527,0.00103928075128379,0.0106725087997992,0.00414331632986837,0.0100143581799522,0.00128085083341785
"11427-43",340,0.00995033085316809,1.25,0.1,0.0719309803789804,0.00959098646244898,0.0012728759508149,0.00842623201223066,0.00112922579416721,0.00954439048518951,0.00389976160443811,0.00976952141991172,0.00139651237525866
"11427-44",340,0.00995033085316809,1.25,0.1,0.071753497014039,0.0117521774492038,0.00130108997365834,0.0103867033159915,0.00116507006589736,0.0127934705984628,0.00387432470868013,0.0116257064163304,0.00134936784368251
"11427-45",340,0.00995033085316809,1.25,0.1,0.0717340002084789,0.0102160242899123,0.00120217701950636,0.00905262493047369,0.00106825697940209,0.0115065938851658,0.00424733945082721,0.0103253244613839,0.00123976205946818
"11427-46",340,0.00995033085316809,1.25,0.1,0.0714380467112555,0.00843854175897398,0.00139930003309032,0.00722645490708199,0.00122455824827752,0.00396038495462516,0.00378086512114577,0.00835761036431592,0.00165453590278487
"11427-47",340,0.00995033085316809,1.25,0.1,0.0718105873337064,0.0126281369053875,0.00134239110143757,0.0109736108189782,0.00117131085038928,0.0163482865544822,0.00515712406022274,0.0127201349810094,0.0015182113274311
"11427-48",340,0.00995033085316809,1.25,0.1,0.0717104822006326,0.0103244998229409,0.00115357149839569,0.0089664406040201,0.00102042687877689,0.00740114493427496,0.00454515230732398,0.00939769898273705,0.00111601315778037
"11427-49",340,0.00995033085316809,1.25,0.1,0.0719426489631171,0.0100455719494983,0.00108134925951577,0.00875880450188367,0.000939923699812777,0.0151039720060194,0.00302388631490769,0.0109144811834378,0.00129765508404925
"11427-50",340,0.00995033085316809,1.25,0.1,0.071861113788947,0.0090814870526916,0.00121823268961768,0.00792838662680031,0.00106953310572684,0.00691560184845055,0.00631148840364495,0.00875871162360436,0.00121841016928916
"11427-51",340,0.00995033085316809,1.25,0.1,0.0717202987881226,0.00820895232445433,0.00118746709574636,0.00722812316658337,0.00104332160958493,0.0138586685398423,0.0045252616402993,0.0087312247723063,0.00127317198887183
"11427-52",340,0.00995033085316809,1.25,0.1,0.0717625381887268,0.00607440577744203,0.00124850205962462,0.00534113313683991,0.00109350617861117,0.00397070945953737,0.0039519662906677,0.00585947942959171,0.00138989304825796
"11427-53",340,0.00995033085316809,1.25,0.1,0.0716518209012903,0.00898606504840031,0.00126900129856222,0.00785164232155195,0.00110674520392146,0.00920429828947137,0.00316652135904927,0.00839076111190743,0.00135261949849913
"11427-54",340,0.00995033085316809,1.25,0.1,0.0716247046802612,0.0106090679112665,0.0013331386375277,0.00920356912506784,0.00115397804607919,0.0171624887607165,0.00493888099076428,0.0111245891282264,0.00137088266647303
"11427-55",340,0.00995033085316809,1.25,0.1,0.0719928230360878,0.0111287425004731,0.00113915120388191,0.00988250044916391,0.00101936369649368,0.00917403296502836,0.00394367939461836,0.0115999537297396,0.00125133467502164
"11427-56",340,0.00995033085316809,1.25,0.1,0.0721115845849817,0.0111033201148201,0.00113328126185212,0.00992904715815824,0.00101352490874211,0.0156817491535694,0.00470639547135755,0.0110277995766286,0.00120651160373351
"11427-57",340,0.00995033085316809,1.25,0.1,0.0715463227801082,0.0110379571330975,0.00119831307391625,0.00989259951418535,0.00108009972428834,0.0113622052808471,0.00332749920322763,0.0113401122344011,0.00134278731337165
"11427-58",340,0.00995033085316809,1.25,0.1,0.0715308467269634,0.0132989170609904,0.00131760928871429,0.0116641593080206,0.00117760787438304,0.015453308546341,0.00431718651490351,0.0135302495552967,0.0014298923764013
"11427-59",340,0.00995033085316809,1.25,0.1,0.0715546261756138,0.0102485371365704,0.00126592690839353,0.00908978384688949,0.00113061537185284,0.0111695535437823,0.00525840921671288,0.0101879759679849,0.00133298478154524
"11427-60",340,0.00995033085316809,1.25,0.1,0.0718184562085142,0.0109429856622341,0.00131252785481417,0.00966652884783775,0.00115923060310547,0.0125528394454072,0.0044618531007663,0.0107717925284329,0.00146842636051937
"11427-61",340,0.00995033085316809,1.25,0.1,0.0717207063857262,0.01096142008544,0.00145492134692807,0.00964710215442013,0.00128244912104309,0.00755216952959784,0.00610287135937257,0.0104676538213372,0.0014926643208399
"11427-62",340,0.00995033085316809,1.25,0.1,0.0719317241123679,0.00949232146416675,0.00123118347180438,0.00813440334178334,0.00107007087082685,0.00837205424599063,0.00525543009135073,0.00886059065983914,0.0011913350303207
"11427-63",340,0.00995033085316809,1.25,0.1,0.072116039161876,0.0113805298296209,0.00112503947655642,0.00996706731989582,0.00100086832339787,0.0114336722008099,0.00422419053893092,0.0103938602433309,0.00107077736051971
