"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11424-20",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.112386311229727,-2.22625411368596,0.00872548574687746,0.0144101980242325,0.00275325475014116,-2.22102108481404,0.00793613922295589,0.0166089042451578,0.00310488856103645,-2.29454201280393,0.0250242763035202,0.0253762134701249,0.00830280664674436,-2.22028595118295,0.0103079702269231,0.0121954011281721,0.00379441102773192
"11424-21",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114010964245337,-2.21625767984368,0.00951454000043597,0.0148319779846965,0.00267415004892938,-2.20836043682327,0.00866032357945619,0.0157442480121366,0.00291108492574261,-2.2505945474981,0.0326989379725355,0.0350052966261101,0.0114378116610324,-2.2166712531968,0.0139360836533062,0.0144268970174945,0.00444187114637697
"11424-22",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11346983047908,-2.2066513171251,0.00983206522487085,0.00918790868666765,0.00288841928305183,-2.20240949283293,0.00871856230193179,0.0105329679355281,0.00318937437321388,-2.23594844804164,0.0352404158384425,0.0134518958815402,0.00756405481121282,-2.20619681612175,0.0131583331311435,0.00908090823522965,0.00445019832013291
"11424-23",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113643776856585,-2.21385432255097,0.00832514155625045,0.0135816990996972,0.00265120015141854,-2.20626639049538,0.00735265742141287,0.0143466593384713,0.00287197998655913,-2.24646944394496,0.0262039360358979,0.0258071257289417,0.0085380482531211,-2.2091050909953,0.0106160476771986,0.0114899618004787,0.00382428007207546
"11424-24",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115373548733916,-2.19782944503449,0.009243360690997,0.012140638030245,0.00245402817576943,-2.18889765004387,0.00836602706627405,0.0120564423359664,0.00264977845479098,-2.17266056433571,0.0272683005182278,0.00656133439619919,0.00682046603486584,-2.20367127665221,0.0113752025538023,0.0139115595471631,0.00323185661522167
"11424-25",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114505929479547,-2.20416656694578,0.00906135799828417,0.0118577831799062,0.00234993325220732,-2.19588618735569,0.00826123045460135,0.0117419543571191,0.00249694280225007,-2.21535879347688,0.0310578962948246,0.0180887935986373,0.00513753860042644,-2.20660949868644,0.0111514255488435,0.0134618352535729,0.003594967843141
"11424-26",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114174293819384,-2.20716802007905,0.00863089871251416,0.0115623095273378,0.00219412865255843,-2.20069584340856,0.00788582962295393,0.0120944030086663,0.00229037209804861,-2.23235729609458,0.0303504272823937,0.0108014974627142,0.00683022473707712,-2.20890094292513,0.0106870339454509,0.0121878127343912,0.00304575707291515
"11424-27",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114456317587608,-2.20448019435863,0.0104092556941808,0.0113981752498619,0.00300880808844576,-2.20027673141787,0.00924191963357177,0.0134304202771414,0.0032525340847155,-2.15765556708736,0.0313144044712078,-0.00458494033073093,0.00918889567648797,-2.20591711742775,0.0148300448743762,0.0114225561597078,0.00490052500701562
"11424-28",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114854917418306,-2.19661453177001,0.00878691992533942,0.00904394820724366,0.00242324993363768,-2.19067693020073,0.00780741272002732,0.00919601256912654,0.00257339653610594,-2.21234341098519,0.029155564698514,0.0156126091322559,0.00520954228013315,-2.19824790650901,0.0109779678743818,0.00974400962422788,0.00357425755547533
"11424-29",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114584458442907,-2.1999330677219,0.00891293271239645,0.0104332850301155,0.00250522522086844,-2.1921364006997,0.00802040422325155,0.0100688903078125,0.00267725442197068,-2.2125925273911,0.0205907754250561,0.00671672380637824,0.00486940795786147,-2.20139161407907,0.00992104086377189,0.0112791471684894,0.00298750564903613
