"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11423-27",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11382664617099,-2.20026665835563,0.00335715086096685,0.0104333398308078,0.000907670603316247,-2.19417942461901,0.00303461697383363,0.0109143724665191,0.000976383302228888,-2.19865575088659,0.0113935850665994,0.0125211500021059,0.00429063916960326,-2.20038702067437,0.00437707566846099,0.0102311411775767,0.00133525318858621
"11423-28",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113470724501458,-2.19836055862218,0.00338036172925042,0.00860828826967816,0.000931488604052493,-2.19335298760611,0.00301755949350191,0.0090977335539597,0.000985899707313843,-2.18777287328282,0.0107046168854467,0.00673318471485478,0.00246732520311751,-2.1992867023061,0.0047525874256035,0.00883267293580717,0.00139801405088368
"11423-29",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.112780545215287,-2.20948995605723,0.00335513204016805,0.0121625747591211,0.00104896499395137,-2.20241227062243,0.00298951665039602,0.0126618841189748,0.0011302164131692,-2.20294761550566,0.0110614301676626,0.0102420602230906,0.00408717540539053,-2.21005936958088,0.00435140892510816,0.0129748017038326,0.00174113197038698
"11423-30",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113820729326776,-2.1983544282797,0.00321287238807687,0.0100055983548035,0.000853831725020076,-2.19228507538994,0.002907970732729,0.0103186609120009,0.000901668010359066,-2.19551929056567,0.010396977189917,0.00938629326982587,0.00232384426817442,-2.19768787580672,0.00388559841663508,0.00958800300007533,0.00126607093205022
"11423-31",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113516544199278,-2.20646273267803,0.00328154808266203,0.0125918978577156,0.000922186401997909,-2.19839838259717,0.00293968682424484,0.0129118799370401,0.000983091071503251,-2.20769399033904,0.00991283615178053,0.0142012068796113,0.00228650741935491,-2.20568181343622,0.00402416867054992,0.0126576027097411,0.00131941148781332
"11423-32",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113619966928159,-2.19919692865784,0.00332326784643016,0.00999598166091254,0.000950676216569071,-2.19353968403593,0.00302039334626191,0.01013699117079,0.00101040926897084,-2.18932233634551,0.0105103235160305,0.00763912192787313,0.00300809702631546,-2.19804451282333,0.00376512329697564,0.00975921602728511,0.00130066405008269
"11423-33",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113651270240987,-2.20033806488555,0.00349053829685106,0.00974134301096732,0.000963649416691629,-2.1939754998866,0.00313864723335238,0.00985900514187081,0.00104106936654445,-2.21383096537832,0.0112883089149609,0.0140171063541248,0.00363869454614409,-2.19917922987812,0.00436480851711777,0.00954651836803645,0.00137998216474938
"11423-34",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113099571440118,-2.20508654325909,0.00346613458353365,0.010424182114869,0.00102302971657765,-2.198297120356,0.00307808505623546,0.010548810169156,0.00109409498946243,-2.22216565684177,0.0126515866065222,0.0185234902962065,0.00471016746624127,-2.20794728430004,0.00604130659639796,0.0111748160129476,0.00196946902364497
"11423-35",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113660632654734,-2.20209180568653,0.00330561462291498,0.0104446872774565,0.000865065162535801,-2.19634112531155,0.00299946397425135,0.0109980120116029,0.000918094484587555,-2.1883975984636,0.0103510613469813,0.00670410021671559,0.0029186739327029,-2.20116408246356,0.00407182709506354,0.0102220645810974,0.00121990471626053
"11423-36",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113447153366762,-2.20326323620347,0.00323592641943363,0.0101608828465648,0.000824104317799336,-2.19773123232964,0.00295725168147655,0.0109402086134995,0.000896283070868974,-2.20514276757529,0.010322739425976,0.0121449313518326,0.0031139420651737,-2.20408017331446,0.00434740088774976,0.0106986829891637,0.00125051031790816
