"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-31",387,-1.1,-0.01,-0.7,0.8,0.1,0.324774832778628,-1.0979491623747,0.00202812940661396,-0.0102235681192094,0.00057037265666914,-1.1086731998454,0.0016544902514475,-0.0097655038758049,0.000554315320801311,-1.10300793009012,0.00647122624665426,-0.00861089267517655,0.00171229171942509,-1.09942374919934,0.00266161515755346,-0.00984882602811444,0.000769569000020261
"11422-32",387,-1.1,-0.01,-0.7,0.8,0.1,0.325301011752112,-1.09843342515741,0.00198696933505962,-0.0101304099066696,0.000591143275855788,-1.10915180524399,0.00161509585365899,-0.00943079719053354,0.000567295519113802,-1.09839070751623,0.00642065733236157,-0.010452042131634,0.00153749895262663,-1.0980868217987,0.00340811162615404,-0.0101880869442927,0.00108172800408394
"11422-33",387,-1.1,-0.01,-0.7,0.8,0.1,0.323700024077776,-1.10116177116679,0.00199555030335992,-0.0102775881899075,0.000554056769487098,-1.11286811922933,0.00162496756702783,-0.00945169965759635,0.000532069958718693,-1.09775519613774,0.00624647601522696,-0.0110489764311375,0.00168645399810248,-1.10325213179536,0.00238849365818354,-0.0094101157797261,0.000713123647738385
"11422-34",387,-1.1,-0.01,-0.7,0.8,0.1,0.324773218806581,-1.100616817105,0.00192758497328382,-0.0101608408997765,0.00057062188373384,-1.11115615064909,0.00159097151942097,-0.0096245399493933,0.000560061888277168,-1.11052219670352,0.00659582613203898,-0.00835378718103849,0.00182831162218852,-1.10484371708351,0.00260870374467966,-0.00879794150422233,0.000830189278496578
"11422-35",387,-1.1,-0.01,-0.7,0.8,0.1,0.324433860121231,-1.10407200591247,0.00193760569371385,-0.00935457496832577,0.000589002440092058,-1.11355389233755,0.0015938253900018,-0.00886881251306809,0.000574910422545504,-1.09995694508451,0.00657858578888383,-0.0102522550963978,0.00186683508559883,-1.10443654960519,0.00278616605267328,-0.00859941822783386,0.000896872474829916
"11422-36",387,-1.1,-0.01,-0.7,0.8,0.1,0.324982597746052,-1.0990950873436,0.00205795616524291,-0.00993204256048615,0.000609538423400979,-1.11071925165719,0.00162737596429336,-0.00892052899272916,0.000573500534982689,-1.09150883587927,0.00631060014950252,-0.00819384117383609,0.00188610273676253,-1.10136238750875,0.00249957416224841,-0.00923816733587193,0.000753366402127002
"11422-37",387,-1.1,-0.01,-0.7,0.8,0.1,0.325023496173422,-1.09644803889937,0.0019873224266841,-0.0107818223367972,0.000564797509852981,-1.10791135866356,0.00161578469998735,-0.0103555507445523,0.000544035413625999,-1.09297774448217,0.00600664070808575,-0.0124011882108214,0.00141452899990509,-1.09756754284124,0.00324810178158959,-0.0106671370349302,0.00097725462184766
"11422-38",387,-1.1,-0.01,-0.7,0.8,0.1,0.324496054085648,-1.09902695823411,0.00201168686592901,-0.0102201250888639,0.000568394816040664,-1.11010502447014,0.00164935377574852,-0.00950726974258876,0.000557429184894878,-1.09943969783932,0.00626747793906845,-0.00853711948148123,0.00173934291431303,-1.09858550299096,0.00350377126921996,-0.00962021087345412,0.000984756316877102
"11422-39",387,-1.1,-0.01,-0.7,0.8,0.1,0.324548198467089,-1.10067630185793,0.00206226487754142,-0.00988122857026467,0.000616692424829003,-1.11101435582181,0.0016489773264934,-0.00952287900978709,0.000598290242186928,-1.10729452132875,0.00672905704108333,-0.00649649536568788,0.00191896281365878,-1.10177819827343,0.00287814770875635,-0.00955553136840006,0.000965239468832443
"11422-40",387,-1.1,-0.01,-0.7,0.8,0.1,0.324358223789038,-1.10053405350277,0.00201065200186945,-0.00947270563455763,0.000548215172250556,-1.11018466197522,0.0016664280926614,-0.00909123985409145,0.000539051529492678,-1.08759095869093,0.0059680572674412,-0.0100765604799475,0.00167814200022337,-1.09911336512211,0.00324644736647594,-0.00945208576865923,0.000929488285323688
"11422-41",387,-1.1,-0.01,-0.7,0.8,0.1,0.325758226034884,-1.09740137749057,0.00192552879375605,-0.0107214231991484,0.000597275714392909,-1.10837505064236,0.00157159933756603,-0.0100978879494032,0.0005706185985292,-1.10619888531678,0.00654381951475084,-0.00956139475809353,0.00309037334699261,-1.09663960870124,0.00282734341027463,-0.0115190925670058,0.000962749891004911
"11422-42",387,-1.1,-0.01,-0.7,0.8,0.1,0.325000321229672,-1.09920263632609,0.0019429706792007,-0.0103610478648131,0.000575196494198272,-1.11043240292142,0.00158253173733445,-0.0098941418521514,0.000563357834509618,-1.10016029239538,0.0059220839354876,-0.0116655744759458,0.00184751786039737,-1.09595389756175,0.00356637757372506,-0.0110664732204583,0.00103108776651192
"11422-43",387,-1.1,-0.01,-0.7,0.8,0.1,0.324768784329539,-1.10102912589788,0.00197009759408797,-0.00990801756010306,0.000590653372780748,-1.11144451125667,0.00160443172851992,-0.00926214949669625,0.000567718781590876,-1.10108710636697,0.00609524801646928,-0.010137486047234,0.00149019801957759,-1.10003456416799,0.00278314304941934,-0.00978863542207465,0.00099770713751207
"11422-44",387,-1.1,-0.01,-0.7,0.8,0.1,0.323582425016645,-1.10698712068403,0.00201330219508795,-0.00854895487848575,0.000587302803648729,-1.11646801593266,0.00163022359008122,-0.0079104947102138,0.000571232335961412,-1.10638452759828,0.00604617624709484,-0.00927027430347181,0.00178939676193198,-1.10847421680259,0.00261445257760917,-0.00799748497533595,0.000821666865015602
"11422-45",387,-1.1,-0.01,-0.7,0.8,0.1,0.325931179784244,-1.09903594628298,0.00209490973777601,-0.00932956802774804,0.000667280910312916,-1.10887864066385,0.00165595286993532,-0.00867770332958798,0.000645112591412721,-1.0937834584365,0.00693530219798694,-0.0112554813349952,0.00269882240398609,-1.09784637004898,0.0028709512821493,-0.0100149473314758,0.00101248914274579
"11422-46",387,-1.1,-0.01,-0.7,0.8,0.1,0.323864185325627,-1.09971433347369,0.00197269455901991,-0.0103366092194436,0.000526817030719815,-1.10980853365481,0.00166100729641636,-0.0098815255201786,0.00051482066053616,-1.10549391073138,0.00620704318643863,-0.00927134123690944,0.00205157057451796,-1.09951230893375,0.00313846061677198,-0.010740811077256,0.000886816265893688
"11422-47",387,-1.1,-0.01,-0.7,0.8,0.1,0.32497336119305,-1.10098420274552,0.00198476494730009,-0.00957115526457262,0.000593622286626438,-1.11079379575423,0.00161356640872128,-0.00901681954670914,0.000564586435178092,-1.10482229132283,0.00615033465775235,-0.00928275759796845,0.00186774577691455,-1.10017439447978,0.00255667887963625,-0.00967877853216011,0.000756881647268557
"11422-48",387,-1.1,-0.01,-0.7,0.8,0.1,0.324637082797806,-1.10053311256335,0.00194528252621066,-0.0095932969102144,0.000536989543446406,-1.11054600510678,0.00161888829810746,-0.00900755480546206,0.000520106538739608,-1.09904262472829,0.00678200642351639,-0.0132490817893105,0.0021520185823894,-1.09967695777043,0.00257718114367372,-0.00988488787393045,0.000832271309557962
"11422-49",387,-1.1,-0.01,-0.7,0.8,0.1,0.324989348784775,-1.09902582416308,0.00198799579615572,-0.0103374716865976,0.000594151725087056,-1.11037662431563,0.00160805130546824,-0.0094587026964995,0.000568896827240396,-1.1091696899438,0.00673958996176614,-0.00755640448819104,0.00180238373538028,-1.09935367211929,0.00359220153173012,-0.0101102829950324,0.00111520384122543
"11422-50",387,-1.1,-0.01,-0.7,0.8,0.1,0.323475881956798,-1.10198185576712,0.00205532138526061,-0.00972416619531136,0.000556696210642563,-1.11203688771961,0.00168788855899515,-0.00933320094460195,0.000542925882552474,-1.09647610231657,0.00671806692990239,-0.0105489330703024,0.00166745837543564,-1.10147479636188,0.00323051824128259,-0.00984920182259993,0.000925048244618675
"11422-51",387,-1.1,-0.01,-0.7,0.8,0.1,0.325168309256061,-1.09940098350778,0.00203034344069256,-0.00998552450617183,0.000621194890169018,-1.10961331688705,0.00163896025584928,-0.00945270019209793,0.000602574272233224,-1.10128016875636,0.00618426500699503,-0.00800912195788373,0.00154398627051496,-1.09903498652548,0.0027108849791045,-0.00964924093715513,0.000948469804862511
