"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-23",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113296603102929,0.00896406989838045,0.000950249461613966,0.00879393181584083,0.000941008585441838,0.00549931716171956,0.00385244043837319,0.00908882209484912,0.00121197306724779
"11427-24",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112518547047922,0.00924068953010494,0.00105796942494839,0.00904627564096535,0.00105722837347184,0.0116344890094394,0.00251323660640453,0.00944724109662951,0.00128346828310293
"11427-25",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113313395074633,0.00978886191007276,0.000803595438736194,0.00954895891321925,0.000793007690915185,0.00984992813239802,0.00413094372976112,0.010118679017517,0.000940777688169268
"11427-26",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112860441223246,0.0108940658593684,0.00107522635104932,0.0104090648641492,0.00106423139691461,0.0136862712139865,0.0035794144192631,0.0102329352882919,0.00133208967875659
"11427-27",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113061232391491,0.00996821213148902,0.000930922051806469,0.0094200343985119,0.000902921757198273,0.0115363496254702,0.00269655278203712,0.0103285418353766,0.00123258853904932
"11427-28",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112709332974204,0.00988342059239638,0.00100425336861049,0.00948791372961592,0.000974559311133741,0.00892781250681924,0.00236539742597042,0.0106034645182391,0.00108411547010883
"11427-29",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11256055154669,0.0112845071869963,0.000990266751149773,0.0105319240284666,0.000971977714407999,0.00536414361001074,0.00447487576492824,0.0100335220311992,0.00112022085745729
"11427-30",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112515297865563,0.00819243274456774,0.00111016506877041,0.00782580233287141,0.0010862256641376,0.0112834096863695,0.0030413113283828,0.00786023037806071,0.00163818516383303
"11427-31",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112593818862621,0.0104769520623011,0.00108566615530053,0.00990838301136722,0.00107230001408004,0.0070829152358598,0.004309350037628,0.0116541972891243,0.00150860676554685
"11427-32",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113015754122219,0.00839394335037836,0.00105748407571496,0.00824693427075266,0.00104680063718609,0.00656098465960732,0.00282449165823319,0.00846812879231642,0.00125169977598496
"11427-33",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112354832431288,0.00809117271692446,0.00112112442317715,0.0079089510558948,0.00109483150684298,0.00737231222442724,0.00300324491234917,0.00795867980397115,0.00140176584280063
"11427-34",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112845032970586,0.0104977986614526,0.00108072311733495,0.00983240215894352,0.00104315439170575,0.0134136598996703,0.00371602855797633,0.0118606958669405,0.00216806759999472
"11427-35",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113206074415788,0.00990983404784138,0.000872769844206418,0.00996292619710131,0.000877649352846961,0.00541098448163088,0.004787534960398,0.00959579934546397,0.00127503717155029
"11427-36",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112548813491105,0.00982674865141044,0.000980577371821693,0.0094613195726295,0.000955516770380457,0.0107342819893018,0.00266351978907022,0.00925794663851277,0.00136670257013967
"11427-37",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112687639440843,0.00836993114187517,0.00107759562216897,0.00803734412520855,0.0010765398680068,0.01112169588387,0.00308586094013837,0.00680822389459756,0.00132558611533839
"11427-38",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113523822514816,0.0106415286407997,0.000885248167173327,0.010352869827361,0.000870906571894581,0.0133403519802921,0.00395918495510118,0.0101473163190957,0.00127257717784809
"11427-39",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113442848919072,0.0090192803250852,0.00094425683243288,0.00905831348230385,0.000938505113818535,0.0082047145317374,0.0041137318293787,0.00917887137665029,0.00142335808100114
"11427-40",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112954324749286,0.0111180856450214,0.00106505154600765,0.0107956143801827,0.00105053479097714,0.0142474413828932,0.00318895210759726,0.0120842186380267,0.00141453550109274
"11427-41",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112869207653002,0.0107188292115233,0.0011510090473342,0.0102980160920926,0.00112172901707905,0.0133571707929076,0.00264135175732876,0.0107878019208116,0.00176756814323733
"11427-42",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112712845101215,0.00995421627771281,0.00108717350240848,0.0096672569807893,0.00108115136898491,0.0088609539994554,0.00353083014595782,0.009633071787514,0.00158064426758011
"11427-43",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113206048306564,0.0104291683037621,0.000914511475731262,0.0100752571504883,0.000904330582258318,0.00596456277900791,0.00332803804777052,0.00965588176210287,0.00108914066880312
"11427-44",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112225851271408,0.00948183996207486,0.00105300746117284,0.00887258813301431,0.00101495126090835,0.0138630128869099,0.00390303808957894,0.0097537500018119,0.00154632804976572
"11427-45",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112580028134196,0.0104886052162997,0.00108633934187984,0.00975711339504949,0.00106247384747857,0.00976519596058217,0.00293064335408586,0.0100405981246491,0.00127812173271853
"11427-46",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112998497748405,0.00931497399341298,0.000992324244134617,0.00904299760778043,0.000974484610750682,0.011074871107682,0.00258435637839819,0.00951590476129762,0.00124101496953558
"11427-47",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112845035503649,0.00796030273012646,0.00122273671823181,0.00758278212887327,0.00115710127024043,0.00956287169463241,0.00459445656468164,0.00702684756926046,0.00181612929566505
"11427-48",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112842430480826,0.0102188973054341,0.000873983349543589,0.00989436869715685,0.000867252136713245,0.0137234149469047,0.00310769613312494,0.0102455890639037,0.00118032932392556
"11427-49",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112764420796976,0.00832855041455762,0.000966608511254765,0.00835752713408245,0.000953900305076523,0.0146614819943096,0.00390533564765334,0.00897281795099572,0.00133405186782752
"11427-50",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112700260098735,0.0100617589944135,0.00106795604506414,0.00991830164047302,0.00105592320185785,0.00441001629937119,0.00371553797670669,0.0106005367550529,0.0014798690286739
"11427-51",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112901449960461,0.00928890203481786,0.000866142936303203,0.00903842189217258,0.000857724005325891,0.0109814852497874,0.00284790750883815,0.00847107983143038,0.00100687580400221
