"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-32",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107559913320274,-0.00948452768248199,0.0010301382458915,-0.00896721748380131,0.00101308929305891,-0.00866466363024874,0.00363219537093645,-0.00855883217792346,0.00118512882928047
"11428-33",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107835333008298,-0.0100090427758623,0.00100021129849564,-0.00964053676300056,0.000964742282992179,-0.00562093618277028,0.00444872555178957,-0.0112642907498806,0.00147881318276198
"11428-34",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107278810631224,-0.0097401848149046,0.00108392787085652,-0.00916959434503314,0.00105122026467254,-0.0114364954506783,0.00382276482418784,-0.00988985851412666,0.00163734096840683
"11428-35",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106916232412068,-0.00949838478088536,0.0010076697050343,-0.00919696013078824,0.000992758696044356,-0.00884875871333921,0.00236834647564671,-0.00967421640056565,0.00122188153529631
"11428-36",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10755029859536,-0.00923844197739984,0.00109440819268558,-0.00861797025794489,0.00106848970529384,-0.00928206095980717,0.00287347274245063,-0.0100818694158559,0.00160638731017122
"11428-37",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10719695815281,-0.00944533970388578,0.00103890693046241,-0.00918922501773381,0.00101883004421634,-0.0128538331066471,0.00394764848701869,-0.0111530835551522,0.00120766191157877
"11428-38",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107589866783186,-0.00864728368536131,0.00100289283766575,-0.00872843292103596,0.000997785339990061,-0.0142848402641025,0.00403994253116353,-0.0104190742462448,0.00118157966417373
"11428-39",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107233321694244,-0.00995626184018917,0.00114271382268641,-0.00926231778537472,0.00110396807765048,-0.0070738899395977,0.00318691167869455,-0.00922405812447902,0.00161633038870359
"11428-40",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10673820237437,-0.009864231280859,0.000910902768686551,-0.00933673047276462,0.000879604853799406,-0.0107371773179962,0.00301698030249751,-0.00965055348691789,0.00127185893562632
"11428-41",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107187532617989,-0.0102688100478511,0.00117116256426965,-0.00957956698369597,0.00114673986584047,-0.0130869933006507,0.00418175253513126,-0.00975723213124365,0.00149862261395284
"11428-42",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106877991106171,-0.011395376002997,0.000911083636880139,-0.0109377841934133,0.000897398442713344,-0.0107570171670483,0.00204804227507631,-0.0108724141992139,0.00117776346062911
"11428-43",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107455644543634,-0.010642931761305,0.00110651041571315,-0.00996764216041703,0.00107154571392919,-0.0105100948059793,0.00451505745268382,-0.0108891112188929,0.00163764823986483
"11428-44",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107539027775953,-0.0089029400890209,0.000976898321977641,-0.00884450849774784,0.000970439800814617,-0.00880877019488168,0.00256416123456401,-0.00869192925434169,0.0012603798528385
"11428-45",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107171111160294,-0.0094714956050517,0.00101241504584902,-0.00928437994834705,0.000987286296449799,-0.00708563762412824,0.00321394837637776,-0.009138444641123,0.00110615960202923
"11428-46",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107279699521942,-0.00870464348087603,0.00101246304658646,-0.00825961797777234,0.000983479244881306,-0.0109956300429664,0.00324215462088582,-0.00901141588086986,0.00148058689025192
"11428-47",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10778703972602,-0.0103805102288322,0.00112280180455196,-0.00992982925609425,0.00110154389767066,-0.00799741820791576,0.00387527969237944,-0.0108396612491532,0.00141206277132599
"11428-48",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107657215846824,-0.00993542248316309,0.00107134592023885,-0.00940156447438607,0.00104557593117415,-0.00864473692097382,0.00396549832191123,-0.00847557617920554,0.00128036866777256
"11428-49",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10760139107146,-0.00985792877197824,0.0010874263917257,-0.00953678459324596,0.0010809850386354,-0.010642512892901,0.00542923558493305,-0.0103999808023491,0.00217151810975191
