"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-278",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113573404729673,-2.2018423522652,0.00141151882296957,0.0103949961573252,0.000386642492606248,-2.19514324293464,0.00132801941342721,0.01561682425867,0.000682695238840687,-2.20116061929724,0.00448392630770267,0.0102869535141126,0.00145376775710057,-2.20268384577554,0.00317699153413079,0.0111464432903108,0.00107925627911784
"11422-279",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113748314672618,-2.19799397213817,0.00139507535514251,0.00943359845479616,0.000376118404873248,-2.19218282241246,0.00130552452563036,0.0141440970750888,0.000641160332360838,-2.19490433826036,0.00437293745928639,0.00967330466068491,0.0010428685521063,-2.19855353834986,0.00234564537433483,0.00918022707249334,0.000834161939343813
"11422-280",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11384372879474,-2.19685508831651,0.00140676867531047,0.00936221144627811,0.000384365862874602,-2.18946309232823,0.00130069049970143,0.0132119585603663,0.000661311360152833,-2.19503706484184,0.00442380176070982,0.0103990435483812,0.00135704347476773,-2.19564262998082,0.00306018515140135,0.00932922843902309,0.00105009924844748
"11422-281",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113846736944095,-2.19919622909897,0.0013874377578924,0.0102286493032562,0.000371049888218227,-2.19282875330203,0.00129063036623309,0.0156049327214052,0.000634679354506114,-2.20126712174111,0.00434081230154145,0.010859517157399,0.00105653759420873,-2.20054466542311,0.00370198459658737,0.0103638757177805,0.00109494168634315
"11422-282",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113517594764119,-2.20116711792101,0.00140938590702701,0.0100783657516466,0.000391533251350515,-2.19242300998529,0.00130185752757509,0.01322021394464,0.000659855920823633,-2.20051261240451,0.00456497250949912,0.0105002872950932,0.00117184822910617,-2.20128515830761,0.00356268831985976,0.00966882875878048,0.000918123320232757
"11422-283",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113826905712146,-2.20004218479531,0.00140908522134955,0.0104243447587522,0.000380520689686528,-2.19358909933616,0.00131226982770032,0.0158528588364171,0.000652033947761481,-2.19709588344273,0.00430092176731491,0.010694542157968,0.00114885927160431,-2.198787966954,0.00243331780331314,0.0100073893122412,0.00092765888934244
"11422-284",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113631044399394,-2.1989496692634,0.00143210841235645,0.00984967065626181,0.000415136666764789,-2.19215336606676,0.00132316053215878,0.0137848948385116,0.000684510302815534,-2.20265646729696,0.00465185048387418,0.00893810181943444,0.00145992511698082,-2.19943885653158,0.00261542372036044,0.0101695007701613,0.000909569472358873
"11422-285",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113445691666724,-2.20137228568529,0.00140844830158155,0.00973704776602886,0.000383489447706797,-2.19429548312298,0.0013128410979491,0.0137633385263422,0.00064992346339117,-2.20696321418103,0.00465528144509452,0.0131702836541191,0.00146509939383125,-2.20180760645923,0.0031399703859226,0.00987422705392358,0.00101951557852741
"11422-286",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113603270030032,-2.19954159725384,0.00141227641669078,0.00995333393918359,0.000402533751832616,-2.19278519614121,0.00129907525272614,0.0140904505037581,0.000655510389325752,-2.20341243424646,0.00448335296284507,0.0108281511438061,0.0013717724500704,-2.19916637306944,0.0024774945516762,0.00991461216630929,0.000851282737271777
"11422-287",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113836969202702,-2.19863669922299,0.00138826068084762,0.0101559888443537,0.000378492970745223,-2.19134125672109,0.00130598132843061,0.0149420725119815,0.000680743600444475,-2.20516208277649,0.00443356529971139,0.011858373381539,0.00130294578702417,-2.20094415234334,0.00281139306894968,0.0114080758837542,0.000779324825153502
