"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"300",37,35,10304,4344,35.737075,-81.27833
"301",37,35,10401,6593,35.756247,-81.309963
"302",37,35,10402,4948,35.746556,-81.325089
"303",37,35,10501,3753,35.750278,-81.342943
"304",37,35,10502,3226,35.783115,-81.330885
"305",37,35,10600,6421,35.743499,-81.365204
"306",37,35,10700,2426,35.725748,-81.374795
"307",37,35,10900,3762,35.723557,-81.336748
"308",37,35,11000,2644,35.722102,-81.295476
"309",37,35,11101,3497,35.702298,-81.381899
"310",37,35,11102,6873,35.687244,-81.32727
"311",37,35,11200,5983,35.666649,-81.228424
"312",37,35,11300,7187,35.673435,-81.199094
"313",37,35,11401,3525,35.694811,-81.138952
"314",37,35,11402,4030,35.651752,-81.135503
"315",37,35,11501,4821,35.640406,-81.061693
"316",37,35,11503,3715,35.64979,-80.987033
"317",37,35,11504,5616,35.573649,-81.002872
"318",37,35,11601,4487,35.615863,-81.178069
"319",37,35,11602,5546,35.572323,-81.152218
"320",37,35,11701,4280,35.662804,-81.267441
"321",37,35,11702,6847,35.599919,-81.250802
"322",37,35,11801,6218,35.659482,-81.376584
"323",37,35,11802,5952,35.603262,-81.39904
"324",37,37,20103,4335,35.84473,-79.049865
"325",37,37,20104,4667,35.791254,-79.069053
"326",37,37,20105,2920,35.843192,-79.104378
"327",37,37,20106,3861,35.82616,-79.156072
"328",37,37,20200,7666,35.780396,-79.352124
"329",37,37,20300,2929,35.693785,-79.479039
"330",37,37,20401,5775,35.722282,-79.458996
"331",37,37,20402,4693,35.737642,-79.466799
"332",37,37,20500,3751,35.588031,-79.46213
"333",37,37,20600,5351,35.610475,-79.288653
"334",37,37,20701,4910,35.840193,-78.970543
"335",37,37,20702,3887,35.682573,-79.016776
"336",37,37,20800,8760,35.724949,-79.163189
"337",37,39,930100,4571,35.198561,-83.807441
"338",37,39,930200,2410,35.179516,-83.897315
"339",37,39,930300,2439,35.166547,-84.08741
"340",37,39,930400,6120,35.105956,-83.976597
"341",37,39,930500,4693,35.043546,-84.035472
"342",37,39,930601,3280,35.057809,-84.144892
"343",37,39,930602,3931,35.033953,-84.220247
"344",37,41,930101,5424,36.064465,-76.614463
"345",37,41,930102,2335,36.038889,-76.552275
"346",37,41,930200,7034,36.182922,-76.659963
"347",37,43,950100,5062,35.04559,-83.739597
"348",37,43,950200,5525,35.025772,-83.869722
"349",37,45,950101,5300,35.506916,-81.576627
"350",37,45,950102,2786,35.417823,-81.640756
"351",37,45,950200,4878,35.411293,-81.530371
"352",37,45,950301,4515,35.339871,-81.438931
"353",37,45,950302,5820,35.292752,-81.401321
"354",37,45,950400,6877,35.237387,-81.362724
"355",37,45,950500,3606,35.241684,-81.337523
"356",37,45,950601,3918,35.238323,-81.41682
"357",37,45,950602,6014,35.188966,-81.426385
