"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37021003002,"Buncombe",7200,713,2211
37021003102,"Buncombe",5663,527,1597
37021003103,"Buncombe",1879,155,515
37021003104,"Buncombe",5899,614,1676
37021003201,"Buncombe",1733,155,482
37021003202,"Buncombe",4407,406,1287
37021003203,"Buncombe",5016,487,1535
37021003204,"Buncombe",5431,527,1657
37021003205,"Buncombe",1525,176,492
37023020100,"Burke",4320,584,1586
37023020201,"Burke",5953,739,2030
37023020202,"Burke",4287,494,1394
37023020301,"Burke",4898,578,1641
37023020302,"Burke",7603,799,2464
37023020500,"Burke",2900,319,940
37023020600,"Burke",5890,860,2121
37023020801,"Burke",5557,606,1740
37023020802,"Burke",3268,425,1076
37023020900,"Burke",6929,735,2107
37023021000,"Burke",5735,631,1876
37023021100,"Burke",6431,669,2039
37023021201,"Burke",3834,464,1293
37023021202,"Burke",4367,481,1442
37023021203,"Burke",4409,499,1539
37023021301,"Burke",5977,628,2015
37023021302,"Burke",3530,392,1187
37023021400,"Burke",5024,684,1804
37025040500,"Cabarrus",11911,1037,3872
37025040600,"Cabarrus",6110,618,1901
37025040701,"Cabarrus",1654,199,561
37025040702,"Cabarrus",6495,780,2365
37025040703,"Cabarrus",2749,399,987
37025040800,"Cabarrus",3944,493,1393
37025040900,"Cabarrus",1845,205,606
37025041000,"Cabarrus",6010,746,2128
37025041100,"Cabarrus",6841,596,2108
37025041200,"Cabarrus",5779,550,1734
37025041301,"Cabarrus",3738,303,1092
37025041302,"Cabarrus",7567,447,2104
37025041303,"Cabarrus",6994,399,1889
37025041501,"Cabarrus",9568,709,2785
37025041502,"Cabarrus",6062,498,1801
37025041503,"Cabarrus",2986,221,884
37025041601,"Cabarrus",6950,619,2058
37025041602,"Cabarrus",3172,299,977
37025041701,"Cabarrus",4289,395,1313
37025041702,"Cabarrus",3270,334,1014
37025041901,"Cabarrus",2052,314,795
37025041902,"Cabarrus",4057,540,1583
37025042000,"Cabarrus",4663,537,1605
37025042101,"Cabarrus",3264,644,1463
37025042102,"Cabarrus",3477,352,1228
37025042200,"Cabarrus",6263,558,1829
37025042300,"Cabarrus",4839,586,1631
37025042401,"Cabarrus",3349,362,978
37025042402,"Cabarrus",4945,436,1642
37025042501,"Cabarrus",4365,345,1236
37025042502,"Cabarrus",2379,234,740
37025042503,"Cabarrus",3714,350,1152
37025042504,"Cabarrus",1575,109,423
37025042601,"Cabarrus",5282,439,1474
37025042602,"Cabarrus",3796,300,1219
37025042603,"Cabarrus",7031,570,2145
37025042604,"Cabarrus",5026,418,1478
37027030100,"Caldwell",5479,850,2214
37027030200,"Caldwell",5634,795,2181
37027030300,"Caldwell",4204,602,1657
37027030400,"Caldwell",4636,571,1697
37027030500,"Caldwell",4666,523,1452
37027030600,"Caldwell",4303,465,1459
37027030700,"Caldwell",7056,763,2414
