"GEOID","NAME","INCOME","PERC_POVERTY","PERC_SNAP","PERC_CAR","PERC_PUBLIC_TRANSIT","PERC_INSURED","PERC_COLLEGE","PERC_FEM_HEAD","PERC_WHITE","PERC_BLACK","PERC_NATIVE","PERC_ASIAN","PERC_HAWAIIAN"
"37067003311","Census Tract 33.11, Forsyth County, North Carolina",92026,0.0483782297965915,0.0487106017191977,0.869281045751634,0,0.901594282572842,0.728333333333333,0.151515151515152,0.781748213304013,0.163276525563496,0.00714678394722375,0,0
"37067003312","Census Tract 33.12, Forsyth County, North Carolina",83542,0.0664697193500739,0.0629370629370629,0.90273556231003,0.000759878419452888,0.945347119645495,0.585949177877429,0.0646766169154229,0.878877400295421,0.10672082717873,0,0.00369276218611521,0
"37067003313","Census Tract 33.13, Forsyth County, North Carolina",43125,0.176470588235294,0.05229793977813,0.865671641791045,0,0.899592944369064,0.473776223776224,0.248648648648649,0.927564102564103,0.0461538461538462,0.0262820512820513,0,0
"37067003314","Census Tract 33.14, Forsyth County, North Carolina",64306,0.139771283354511,0.0443828016643551,0.902214022140221,0,0.883735705209657,0.62473164448261,0.332352941176471,0.881194409148666,0.0644853875476493,0.01143583227446,0.0136594663278272,0
"37067003315","Census Tract 33.15, Forsyth County, North Carolina",55000,0.0905245346869712,0.111582777440873,0.843884449907806,0,0.900083963056255,0.569675376088678,0.152447552447552,0.87349566190876,0.103554436048139,0.00419815281276238,0.00251889168765743,0
"37067003402","Census Tract 34.02, Forsyth County, North Carolina",58854,0.195266272189349,0.0821467688937568,0.82051282051282,0,0.853327681220856,0.424050632911392,0.0710059171597633,0.901098901098901,0.0215553677092139,0.00380388841927303,0.0054945054945055,0
"37067003403","Census Tract 34.03, Forsyth County, North Carolina",24280,0.530315969257045,0.283831282952548,0.850993377483444,0.0281456953642384,0.739823512667236,0.408730158730159,0.353498542274052,0.584685454027896,0.269854824935952,0,0,0
"37067003404","Census Tract 34.04, Forsyth County, North Carolina",26678,0.487434803224277,0.328379334748762,0.689947780678851,0.0659268929503916,0.707207207207207,0.311305732484076,0.338757396449704,0.379326695116169,0.433143669985775,0,0,0.0201517306780465
"37067003500","Census Tract 35, Forsyth County, North Carolina",37266,0.206224972697488,0.157821873557914,0.815313420277661,0,0.80927199012868,0.532710280373832,0.417348608837971,0.513285236670773,0.364772127397501,0.00598275558683794,0,0
"37067003600","Census Tract 36, Forsyth County, North Carolina",53762,0.284832982244959,0.140071627536809,0.912728658536585,0,0.829334952930459,0.515572484875644,0.397191011235955,0.708997893469756,0.214264219079145,0,0.0118868492326211,0
"37067003701","Census Tract 37.01, Forsyth County, North Carolina",31935,0.343967418971661,0.117940199335548,0.78920741989882,0.0293423271500843,0.645851009672493,0.518446601941748,0.729335494327391,0.661123366706262,0.278296283726455,0,0,0
"37067003702","Census Tract 37.02, Forsyth County, North Carolina",60592,0.0917079765660207,0.0773480662983425,0.930680885972108,0,0.841144659756647,0.677379095163807,0.252821670428894,0.625281658404687,0.322442541685444,0,0.0218566922036954,0
"37067003703","Census Tract 37.03, Forsyth County, North Carolina",84470,0.073282217634916,0.0845070422535211,0.918692598595354,0,0.896638159834857,0.766485998193315,0.0105263157894737,0.572692421114715,0.331318195222648,0,0.00737245650250664,0
