"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11425-28",100,0.00995033085316809,-0.7,0.6,0.1,0.071444374891269,0.014148345523431,0.00583701121638733,0.0121350802116935,0.0055214248252593,0.0125692830461876,0.00759932152884895,0.0112714297988451,0.00667972284448681,0.0118033266993951,0.00478475899030741
"11425-29",100,0.00995033085316809,-0.7,0.6,0.1,0.0722194864548436,0.00489636520289829,0.00291208223906281,0.00497068410576358,0.00304596406837669,0.00490031624870642,0.00297020458175488,0.00507388083249842,0.00285344856952889,0.00524482255574342,0.00301121187170202
"11425-30",100,0.00995033085316809,-0.7,0.6,0.1,0.0718209208665947,0.0156899506920444,0.00391605277824938,0.0127972583493789,0.0032963205634794,0.0129731365725197,0.00343477648528497,0.0133710550751976,0.00322563425451657,0.0128703246018178,0.00320416274701799
"11425-31",100,0.00995033085316809,-0.7,0.6,0.1,0.0716994597191474,0.0105830323748464,0.00318694201476234,0.0115909943878359,0.00348534629046062,0.0116406863182668,0.00342876982214317,0.0120158902803824,0.00355990269695891,0.011909943440654,0.00331097418236924
"11425-32",100,0.00995033085316809,-0.7,0.6,0.1,0.0718796079592672,0.00853074593784232,0.00344985967062975,0.00890248541919774,0.003242983531163,0.00890863450634679,0.00303355070679177,0.00694299993646876,0.00328620147297455,0.00825951099079734,0.00301121708851688
"11425-33",100,0.00995033085316809,-0.7,0.6,0.1,0.0713788063246376,0.00591162075509475,0.00343801843875628,0.00394114687325654,0.00332638168825168,0.00400478797602243,0.00312553628737937,0.00441690651931893,0.00324423021458274,0.00404454571495403,0.00324852695103457
"11425-34",100,0.00995033085316809,-0.7,0.6,0.1,0.0716853595541173,0.00827242833708973,0.00348129444875585,0.00952782146331172,0.00341139011494256,0.00951674554219243,0.00362411488157192,0.00946291042978002,0.00353246921920707,0.00947615588572212,0.00338450436304126
"11425-35",100,0.00995033085316809,-0.7,0.6,0.1,0.0716430636991591,0.00857276184766633,0.00433086855008186,0.00741568880635462,0.00397744826705809,0.00773217189834657,0.00414921438494649,0.00918607632969748,0.0040763113932767,0.00766057866246045,0.00370299208916056
"11425-36",100,0.00995033085316809,-0.7,0.6,0.1,0.0716460184280963,0.00775763052841804,0.00437677830727837,0.00732459222104121,0.00513035236425868,0.0079308393617762,0.004544745350949,0.00768502984934956,0.00517578514482773,0.00712406663695159,0.00504927751310268
"11425-37",100,0.00995033085316809,-0.7,0.6,0.1,0.0714731306034356,0.0158010545435162,0.00432492012127054,0.0133718527185431,0.00485694173179987,0.0136149474226225,0.00444191298157546,0.0138008967389085,0.0059587071258257,0.0138383105887328,0.00470714941989874
"11425-38",100,0.00995033085316809,-0.7,0.6,0.1,0.0713573743167989,0.00855927384804297,0.00343974207260559,0.010421294316094,0.00277692481782248,0.0104026749894983,0.00280440837379588,0.0103041857470923,0.00292656924726545,0.0103690056548728,0.00286096984883592
"11425-39",100,0.00995033085316809,-0.7,0.6,0.1,0.0715196003295671,0.00618932039860074,0.00308522232048078,0.00621013035225513,0.00321601949279837,0.00612133216337388,0.0029505962826661,0.00635361044374582,0.00334826658540677,0.00648673732215257,0.00305398892229321
"11425-40",100,0.00995033085316809,-0.7,0.6,0.1,0.0716157112692094,0.00941197926942182,0.00270760247786867,0.0100925901246284,0.00269214244664612,0.0103287728121245,0.00285659680731681,0.0100479204471049,0.00256789426588267,0.0100469856685673,0.00245999214845294
"11425-41",100,0.00995033085316809,-0.7,0.6,0.1,0.0720019143379661,0.0141526932650267,0.00448608891898634,0.0188856839281865,0.00363327092694479,0.0187691311421109,0.00363598546808383,0.0183744149969565,0.00412433720995002,0.0184062209252717,0.00396555804701231
"11425-42",100,0.00995033085316809,-0.7,0.6,0.1,0.0711878788939005,0.00885941995515289,0.00479179029623836,0.0072479364462545,0.00615569512511482,0.00678438653700989,0.00478079703255282,0.00870180923696734,0.00524703702361079,0.0105818911607456,0.00558762381013713
"11425-43",100,0.00995033085316809,-0.7,0.6,0.1,0.0713060019339442,0.0152296005681314,0.00635661986524621,0.00953759883634109,0.00494624507063848,0.00980527530546218,0.00448766805645941,0.0101162939430772,0.00527181808056567,0.00912286608614703,0.00398360100968491
"11425-44",100,0.00995033085316809,-0.7,0.6,0.1,0.0717627987614081,0.00961897173203261,0.00450909328109539,0.00876225408880434,0.00581598460343408,0.00882993785359418,0.00502991251903677,0.00993390053209572,0.00501530016622223,0.0122285710256496,0.00357693811922518
"11425-45",100,0.00995033085316809,-0.7,0.6,0.1,0.0724590472160173,0.012567199873502,0.00312610255260946,0.0141198661373173,0.00265006591449583,0.0141625647485255,0.00361661952532246,0.0148934272862538,0.0030201066033601,0.0151932725482615,0.00259296302041845
"11425-46",100,0.00995033085316809,-0.7,0.6,0.1,0.0719013041165487,0.00762775354063967,0.00456810841018832,0.0028800021480986,0.00674860389419053,0.00294872389884336,0.00513294969155257,0.00120863477758072,0.00691534518437692,0.00245628196340002,0.00641438667671982
"11425-47",100,0.00995033085316809,-0.7,0.6,0.1,0.0729232186147836,0.00630571827057979,0.00378551337066286,0.00475182385889067,0.00358798753451354,0.00514391827479421,0.00420381819769535,0.00509959539600889,0.00407074527570249,0.00517931015319194,0.00388562474114173
"11425-48",100,0.00995033085316809,-0.7,0.6,0.1,0.0727527249407008,0.00896787998784179,0.00352474680074984,0.00796896205907834,0.00379457940432279,0.00795688457824103,0.00313399067971327,0.00830857003937549,0.00379180446915152,0.00853632423915767,0.00398294073118917
"11425-49",100,0.00995033085316809,-0.7,0.6,0.1,0.071747159744164,0.0107036928822413,0.00356645414405806,0.0134498415179715,0.00304206773562571,0.013417106681835,0.00322783626913359,0.0147815096723656,0.00297673327337986,0.0183005579867688,0.00322791415917124
"11425-50",100,0.00995033085316809,-0.7,0.6,0.1,0.0718262729955805,0.0112341525600522,0.0059645193863347,0.0172448199015511,0.00735860863582724,0.0169530779967488,0.0055838122446309,0.0195648844724586,0.00683031581548587,0.0223854478014983,0.00746707404694828
