"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-44",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.114127796247591,-2.19957958131414,0.00319312388732957,0.0108878890956395,0.000795985218762499,-2.18659418413439,0.00266816877546217,0.010192583495699,0.000777318841913665,-2.20131894326849,0.0101353871698789,0.0146377669962368,0.00233802439160014,-2.19635060069809,0.00391112405270083,0.0107339244951329,0.00125551687459834
"11422-45",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113547627693352,-2.20435959514949,0.00339241870668045,0.0110617585450445,0.000923377480029431,-2.19136265249413,0.00272939997248641,0.0105600269854993,0.000896169781040191,-2.19765881092932,0.0103715584530243,0.00627058722007875,0.00280022199242616,-2.20466731365524,0.00443728192498299,0.011084986687412,0.00116239309051515
"11422-46",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113216669398575,-2.20487280297055,0.00339986103330626,0.0114378031677684,0.00104487294440421,-2.19127621412839,0.00267669226313679,0.0107042309323146,0.0010260844407302,-2.21476962875363,0.0106860868489506,0.0106375029387602,0.00348391606617242,-2.20102259775534,0.00588860555478905,0.00963009006814674,0.0020156764245884
"11422-47",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113539254519683,-2.19984333188144,0.0032540041368581,0.0091827759764207,0.000837652874691495,-2.18905429435592,0.00266592794498674,0.00910798235711167,0.000820642147091857,-2.17510924390508,0.0122373366387363,0.00150958661405371,0.0040444867952401,-2.19761468157674,0.00440741801055913,0.00848411989297903,0.0012663178314104
"11422-48",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.1131622160152,-2.2003183812589,0.00334621063916911,0.00890353083943845,0.000975819426254164,-2.18903475599457,0.00263399716150318,0.00810663355044297,0.000914960663177824,-2.19464295839788,0.010593092047431,0.00841752268105008,0.0032772834322114,-2.20075176893105,0.0050913293293836,0.00951519591852378,0.00179269547739112
"11422-49",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113385785255472,-2.20439067488,0.00349895895755101,0.0114161928858041,0.00106171696517595,-2.19020433658008,0.00269991755365422,0.0104568621745275,0.00101175601086938,-2.22178386200187,0.0103325962230429,0.0152377159501988,0.00316926509972937,-2.2077036550074,0.00719950620986766,0.0119635612155091,0.00233197566518397
"11422-50",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113295476504957,-2.20022192429345,0.00338170833484857,0.00967515732306716,0.00103462679166599,-2.18713490299326,0.00262823945288593,0.00801673698896144,0.000975032132795258,-2.19496714994943,0.0109934797945338,0.00601759261356591,0.00300243086975573,-2.19619259024064,0.00498570231762931,0.00761233602599832,0.00168432263625557
"11422-51",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.114073356723236,-2.19444504408709,0.0031275549526945,0.00920677638699537,0.000797502893818875,-2.18363119155782,0.00261744561504666,0.00879370977860261,0.000779227319571473,-2.20090980825654,0.0104997659020628,0.00850872436951182,0.0034023786372916,-2.19592505271901,0.005022501402163,0.01005993356781,0.00144903266164494
"11422-52",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113537971612151,-2.19751551069082,0.00331432774288879,0.0092554612155033,0.000974856667735866,-2.18580370167932,0.00261903261478317,0.0084298022016148,0.000926278940864375,-2.19942893417363,0.0109172615158343,0.00672105685416965,0.00339714244759557,-2.20022515120197,0.00443114463329827,0.0102061907957708,0.00140839778590486
"11422-53",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113735459891732,-2.20311323194921,0.00322282927497872,0.011371282134859,0.000840728742295012,-2.18931212431694,0.00265330070030546,0.0105099922306451,0.000806225019274776,-2.21029789891438,0.0101224634622911,0.0119764611884073,0.00273070415720155,-2.20200438453837,0.00430859533683541,0.0107154452251348,0.00139916547878606
