"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-804",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689379892012005,-2.69991629823337,0.00178312273459077,0.0101824724160011,0.000502046917914755,-2.68894858745311,0.00146247095406796,0.00949720487887422,0.00048359891833011,-2.69437012281644,0.00541388813565095,0.00939962746205095,0.00146324531394688,-2.69981108571966,0.00223960319123248,0.0101775094042726,0.000720318178958938
"11422-805",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688989209295719,-2.70172155050721,0.00178443447119986,0.0105342291405531,0.000494251009991162,-2.69106140004467,0.00147749338973384,0.0101453209765155,0.000481927754953208,-2.69151739417504,0.00544573464898223,0.00889659891185634,0.00151471387785261,-2.70191739430902,0.00226007999907345,0.0105666477248305,0.000688376409116829
"11422-806",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690404057691437,-2.69932087448317,0.00177634568013425,0.0101742912421283,0.000479875643505846,-2.6883332463434,0.00146734832683823,0.00965650325479077,0.000468394053491098,-2.69139229281321,0.00537483071984629,0.00925615451402957,0.00134361438763622,-2.69784270245156,0.00222875132170607,0.00967582951414882,0.000726327143613296
"11422-807",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689250606936294,-2.70178214349409,0.00182760635163345,0.0104060864953644,0.000503496327288713,-2.69069340722177,0.001497642106086,0.0097950297054979,0.000488473946359087,-2.7043786927366,0.00550573048859372,0.0118857398779095,0.0015879456671817,-2.70305478686974,0.00244557407021358,0.0107362960770691,0.000711455527703842
"11422-808",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0691063818427058,-2.6982387059422,0.00179911480692373,0.0102034457685704,0.000495860415128441,-2.68749716739987,0.00148398100211062,0.0096281738274628,0.000483167549298341,-2.70340027173807,0.00609454851943175,0.0120703251369345,0.00172002706821178,-2.69841416417911,0.00230679006852588,0.010300328242491,0.000760417654855581
"11422-809",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690106969033822,-2.69932955230382,0.00177738097617233,0.00998758513208211,0.000479077033493492,-2.68862728372454,0.00147127614346196,0.00942235944397792,0.000465196418155881,-2.70102673940056,0.00584947140360681,0.0113780986450375,0.00157225694722852,-2.70024550321002,0.00216624879136033,0.0102685257461282,0.000711785801416527
"11422-810",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0687513165214319,-2.69944207547176,0.00176495235246933,0.00931317373289412,0.000513622997473754,-2.68942625969232,0.00144399397211079,0.00869298661272426,0.000495429842381631,-2.69999860936678,0.00581273448550351,0.00893335959342075,0.00164607791255416,-2.69947028116216,0.00227386546622787,0.00922617399609263,0.000761939229715426
"11422-811",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689430628323457,-2.70023832445091,0.00175934906286681,0.0102874116696731,0.000484622388963294,-2.69001745394297,0.00146850073903003,0.00996532120536348,0.000475345454170543,-2.70124840928004,0.00571735797066902,0.00978088671701413,0.00148457764112879,-2.70047332247694,0.00245797532458187,0.0100063413555859,0.000729714667858487
"11422-812",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689579137156917,-2.69876352733841,0.00181132839349989,0.0098008531523124,0.00051469601743035,-2.6883250383191,0.00147625966821825,0.00925287249398335,0.000497619727338043,-2.70608145205516,0.00588945003125426,0.0116851752294705,0.00167055252417272,-2.69918417943415,0.00266003309759381,0.00990330314227316,0.000879148174016034
"11422-813",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689719236024941,-2.69873566939757,0.00177842449768601,0.00977262591030973,0.000491473101890058,-2.68828968851711,0.0014667572268368,0.00911717765079711,0.000473106818556192,-2.69568966265646,0.00550296882179,0.00917467776992871,0.00152617115081741,-2.69905459325281,0.00210611778876976,0.00988090180638113,0.000639251272518147
"11422-814",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690398564729008,-2.69886180153622,0.00177689123666112,0.0100846531535936,0.000485475199448412,-2.68831356906528,0.00147371936931401,0.00955638001855889,0.000473395959729242,-2.69827792185768,0.00555438661294272,0.00883472401979337,0.00148716887560814,-2.69881523368361,0.00219675494773082,0.00995603168824948,0.000721753007979766
"11422-815",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689267274579677,-2.70353598717612,0.00179297563241945,0.0110546031098843,0.000483055614650413,-2.69174239789717,0.0014847431115648,0.010309302093518,0.000466724278950794,-2.70584838447399,0.00576302373107423,0.012113885230542,0.00130459657870194,-2.70266866434198,0.00208695357192887,0.0107236173292873,0.000601638020515092
